Program,Gene,Gene_display,Loading,Abs_loading
Program2,N900_RS19020,priA,4.225045204162598,4.225045204162598
Program2,N900_RS17710,yhfA,4.223077297210693,4.223077297210693
Program2,N900_RS15790,VC_A0310,4.220482349395752,4.220482349395752
Program3,N900_RS11160,brxL,-4.973059177398682,4.973059177398682
Program3,N900_RS10495,malate synthase A,-4.742013454437256,4.742013454437256
Program3,N900_RS13800,dppA,-4.715907096862793,4.715907096862793
Program3,N900_RS11135,VC_A0809,-4.714884281158447,4.714884281158447
Program3,N900_RS13730,VC_0183,-4.692375183105469,4.692375183105469
Program3,N900_RS12655,nhaP,-4.639213562011719,4.639213562011719
Program3,N900_RS16375,VC_A0556,-4.623270511627197,4.623270511627197
Program3,N900_RS15370,intIA,-4.607670307159424,4.607670307159424
Program3,N900_RS12070,intA_4,-4.593285083770752,4.593285083770752
Program3,N900_RS12600,pilO_1,-4.572103500366211,4.572103500366211
Program3,N900_RS00720,rsmD,-4.5149993896484375,4.5149993896484375
Program3,N900_RS16265,kdpd,-4.502933502197266,4.502933502197266
Program3,N900_RS08200,nucleotidyltransferase,-4.479041576385498,4.479041576385498
Program3,N900_RS06615,VC_1539_BLAST,-4.433958053588867,4.433958053588867
Program3,N900_RS17900,VC_A0880,-4.408969879150391,4.408969879150391
Program3,N900_RS10940,AraC family transcriptional regulator_3,-4.356619358062744,4.356619358062744
Program3,N900_RS00230,VC_0047,-4.356245040893555,4.356245040893555
Program3,N900_RS04565,sutR,-4.334632396697998,4.334632396697998
Program3,N900_RS17950,dmlR_6,-4.298236846923828,4.298236846923828
Program3,N900_RS07090,VC_1443,-4.290780544281006,4.290780544281006
Program3,N900_RS14855,psuT,-4.286584854125977,4.286584854125977
Program3,N900_RS05920,pspA,-4.263833999633789,4.263833999633789
Program3,N900_RS10885,flhD,-4.253723621368408,4.253723621368408
Program3,N900_RS08845,araC_1,-4.251288414001465,4.251288414001465
Program3,N900_RS14860,pepT,-4.246934413909912,4.246934413909912
Program3,N900_RS02725,VC_2358,-4.226105213165283,4.226105213165283
Program3,N900_RS01990,hepA,-4.1909003257751465,4.1909003257751465
Program3,N900_RS18340,methyl-accepting chemotaxis protein_25,-4.179750919342041,4.179750919342041
Program3,N900_RS12985,TetR/AcrR family transcriptional regulator_1,-4.162598133087158,4.162598133087158
Program3,N900_RS11460,yhbY,-4.157975196838379,4.157975196838379
Program3,N900_RS09685,VC_0904,-4.131353855133057,4.131353855133057
Program3,N900_RS14660,Crp/Fnr family transcriptional regulator_2,-4.122771739959717,4.122771739959717
Program3,N900_RS04760,dctB,-4.119681358337402,4.119681358337402
Program3,N900_RS12235,VC_0467_BLAST,-4.116977214813232,4.116977214813232
Program3,N900_RS11360,ubiU,-4.112152099609375,4.112152099609375
Program3,N900_RS18380,dmlR,-4.111382007598877,4.111382007598877
Program3,N900_RS11610,glnK,-4.097229480743408,4.097229480743408
Program3,N900_RS11830,luxS,-4.093080997467041,4.093080997467041
Program3,N900_RS04380,pykA_1,-4.082345962524414,4.082345962524414
Program3,N900_RS10930,XRE family transcriptional regulator_7,-4.075897693634033,4.075897693634033
Program3,N900_RS10705,anmK,-4.074062347412109,4.074062347412109
Program3,N900_RS10685,aroF,-4.0738372802734375,4.0738372802734375
Program3,N900_RS14065,pctC_2,-4.07343053817749,4.07343053817749
Program3,N900_RS04855,ald,-4.066649436950684,4.066649436950684
Program3,N900_RS17695,drug/metabolite DMT transporter permease,-4.029825210571289,4.029825210571289
Program3,N900_RS10990,cobS,-4.022490501403809,4.022490501403809
Program3,N900_RS18830,transglutaminase-like cysteine peptidase,-4.021894931793213,4.021894931793213
Program3,N900_RS04375,VC_2009,-4.001265525817871,4.001265525817871
Program3,N900_RS14080,malT,-3.999422550201416,3.999422550201416
Program3,N900_RS13735,kfrA_1,-3.999417304992676,3.999417304992676
Program4,N900_RS10045,tcpB,-4.636552810668945,4.636552810668945
Program4,N900_RS13305,purD,-4.5715508460998535,4.5715508460998535
Program4,N900_RS03425,flgP,-4.494954586029053,4.494954586029053
Program4,N900_RS10545,ppx,-4.428389072418213,4.428389072418213
Program4,N900_RS14350,pstA_2,-4.374989986419678,4.374989986419678
Program4,N900_RS09995,tcpJ,-4.370429515838623,4.370429515838623
Program4,N900_RS03940,ybfF,-4.352357387542725,4.352357387542725
Program4,N900_RS10035,tcpC,-4.183050632476807,4.183050632476807
Program4,N900_RS09210,cvpA,-4.169259548187256,4.169259548187256
Program4,N900_RS03465,flgD,-4.095122337341309,4.095122337341309
Program4,N900_RS03785,fliH,-4.056063175201416,4.056063175201416
Program4,N900_RS09205,purF,-3.989483594894409,3.989483594894409
Program4,N900_RS10560,phoB,-3.988716602325439,3.988716602325439
Program4,N900_RS09740,motb,-3.9814321994781494,3.9814321994781494
Program4,N900_RS03765,flrC,-3.9745895862579346,3.9745895862579346
Program4,N900_RS00255,purE,-3.948749303817749,3.948749303817749
Program4,N900_RS08465,VC_1154,-3.9216768741607666,3.9216768741607666
Program4,N900_RS15415,VC_A0304,-3.906190872192383,3.906190872192383
Program4,N900_RS00525,VC_0101,-3.899126291275024,3.899126291275024
Program4,N900_RS10010,tcpE,-3.8807523250579834,3.8807523250579834
Program4,N900_RS16630,VC_A0609,-3.860334873199463,3.860334873199463
Program4,N900_RS10050,tcpA,-3.8017866611480713,3.8017866611480713
Program4,N900_RS04070,flhA,-3.7911062240600586,3.7911062240600586
Program4,N900_RS03420,flgO,-3.774199962615967,3.774199962615967
Program4,N900_RS10335,guaA,-3.747607946395874,3.747607946395874
Program4,N900_RS03760,flrB,-3.713273286819458,3.713273286819458
Program4,N900_RS16430,vxrB,-3.644932746887207,3.644932746887207
Program4,N900_RS03275,VC0395_A1830_BLAST,-3.6279234886169434,3.6279234886169434
Program4,N900_RS04605,minE,-3.624279260635376,3.624279260635376
Program4,N900_RS10340,guaB,-3.621217966079712,3.621217966079712
Program4,N900_RS19070,Pseudogene_N900_RS19070,-3.606462001800537,3.606462001800537
Program4,N900_RS03290,class I SAM-dependent methyltransferase_3,-3.601799488067627,3.601799488067627
Program4,N900_RS08505,grxa,-3.5853452682495117,3.5853452682495117
Program4,N900_RS03835,fliR,-3.5852692127227783,3.5852692127227783
Program4,N900_RS10005,tcpF,-3.5814387798309326,3.5814387798309326
Program4,N900_RS14945,DNA cytosine methyltransferase,-3.56270694732666,3.56270694732666
Program4,N900_RS10040,tcpQ,-3.5549538135528564,3.5549538135528564
Program4,N900_RS06460,VC_1572,-3.54956579208374,3.54956579208374
Program4,N900_RS09295,toxR_BLAST,-3.5425424575805664,3.5425424575805664
Program4,N900_RS04085,flia,-3.5300750732421875,3.5300750732421875
Program4,N900_RS09745,pomA,-3.5165629386901855,3.5165629386901855
Program4,N900_RS09185,motY,-3.4991698265075684,3.4991698265075684
Program4,N900_RS00250,purK,-3.4673094749450684,3.4673094749450684
Program4,N900_RS13300,purH,-3.4420580863952637,3.4420580863952637
Program4,N900_RS04950,pilz_2,-3.436758279800415,3.436758279800415
Program4,N900_RS15460,rppH_2,-3.427088975906372,3.427088975906372
Program4,N900_RS11660,pcnB,-3.420597553253174,3.420597553253174
Program4,N900_RS13420,wbeK,-3.419473648071289,3.419473648071289
Program4,N900_RS03330,purM,-3.4108288288116455,3.4108288288116455
Program4,N900_RS10060,tcpP,-3.3860342502593994,3.3860342502593994
Program5,N900_RS01805,mpl,-3.579200267791748,3.579200267791748
Program5,N900_RS18525,nhad,-3.3929507732391357,3.3929507732391357
Program5,N900_RS09620,low molecular weight phosphotyrosine protein phosphatase_1,-3.172511339187622,3.172511339187622
Program5,N900_RS07230,tssI_1,-3.1611099243164062,3.1611099243164062
Program5,N900_RS12715,TIGR04219 family outer membrane beta-barrel protein,-3.1340219974517822,3.1340219974517822
Program5,N900_RS14040,VC_A0003,-3.1060407161712646,3.1060407161712646
Program5,N900_RS02000,holC,-3.099592685699463,3.099592685699463
Program5,N900_RS18350,VC_A0976,-3.0614333152770996,3.0614333152770996
Program5,N900_RS11155,VC_0667,-3.0185437202453613,3.0185437202453613
Program5,N900_RS04950,pilz_2,-3.0047807693481445,3.0047807693481445
Program5,N900_RS05085,prepilin peptidase_2,-2.908957004547119,2.908957004547119
Program5,N900_RS12840,fkpA,-2.887373685836792,2.887373685836792
Program5,N900_RS03970,sdhC,-2.8698129653930664,2.8698129653930664
Program5,N900_RS03495,flgJ,-2.857899904251098,2.857899904251098
Program5,N900_RS16985,HI_0131_BLAST,-2.855264902114868,2.855264902114868
Program5,N900_RS17655,4a-hydroxytetrahydrobiopterin dehydratase,-2.8504066467285156,2.8504066467285156
Program5,N900_RS06835,VC_1493,-2.8415915966033936,2.8415915966033936
Program5,N900_RS08050,alpha-ribazole-5'-phosphate phosphatase,-2.818655490875244,2.818655490875244
Program5,N900_RS13345,VC_0267,-2.770345687866211,2.770345687866211
Program5,N900_RS04015,znuC,-2.748326301574707,2.748326301574707
Program5,N900_RS15165,PTS ascorbate-specific subunit IIBC,-2.705350875854492,2.705350875854492
Program5,N900_RS02700,thrB,-2.639390468597412,2.639390468597412
Program5,N900_RS02965,ampG,-2.6340553760528564,2.6340553760528564
Program5,N900_RS11035,istB,-2.628207206726074,2.628207206726074
Program5,N900_RS05985,ABC transporter permease subunit_1,-2.624867677688598,2.624867677688598
Program5,N900_RS08300,VC_1189,-2.624399423599243,2.624399423599243
Program5,N900_RS03515,flaA,-2.6107242107391357,2.6107242107391357
Program5,N900_RS12320,mltC,-2.586317300796509,2.586317300796509
Program5,N900_RS07045,ctxB,-2.5858240127563477,2.5858240127563477
Program5,N900_RS06250,pilW,-2.5490400791168213,2.5490400791168213
Program5,N900_RS00525,VC_0101,-2.546231985092163,2.546231985092163
Program5,N900_RS04935,hemolysin_2,-2.5405385494232178,2.5405385494232178
Program5,N900_RS18620,VC_A1035,-2.537531852722168,2.537531852722168
Program5,N900_RS05820,ydcf,-2.530057430267334,2.530057430267334
Program5,N900_RS12490,tldD,-2.527423858642578,2.527423858642578
Program5,N900_RS15600,VC_A0342,-2.51928448677063,2.51928448677063
Program5,N900_RS06280,VC_1606,-2.51656723022461,2.51656723022461
Program5,N900_RS16625,yjjG,-2.5059335231781006,2.5059335231781006
Program5,N900_RS02440,recJ,-2.4944357872009277,2.4944357872009277
Program5,N900_RS16705,spoU,-2.490487575531006,2.490487575531006
Program5,N900_RS17745,VC_A0848,-2.480461359024048,2.480461359024048
Program5,N900_RS03720,flaE,-2.4759912490844727,2.4759912490844727
