Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
VAE,N900_RS00365,mdtL_1,-5.749837398529053,-3.74618148803711,-4.5202460289001465,3.9924919605255127,-1.1169095039367676,-1.976683020591736,1.5634400844573977,-0.8372595310211182,1.440287,0.2639,6.1683,1h_SI7,1h,SI7,6h_ce,6h,ce,5.904400000000001
VAE,N900_RS00370,VC_0070,-3.452728033065796,-5.717187881469727,-2.8611197471618652,-1.683413028717041,-1.9130713939666748,-3.0480077266693115,1.6700108051300049,1.7176166772842407,0.9191276733333333,-1.2497,5.2072,12h_SI3,12h,SI3,6h_ce,6h,ce,6.4569
VAE,N900_RS00375,asnC,-1.6390806436538696,-1.0436395406723022,-0.9577590227127076,3.424546241760254,-1.3732664585113523,-4.922561168670654,-4.476962566375732,-1.49748432636261,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972
VAE,N900_RS00380,VC_0072,-5.18038272857666,0.495702177286148,-7.012635707855225,2.5986056327819824,2.3709702491760254,0.7650856375694275,-3.2902188301086426,-2.091883420944214,1.3673203333333335,0.04101,4.5015,6h_st,6h,st,3h_SI2,3h,SI2,4.46049
VAE,N900_RS00385,rsmJ,-5.149823188781738,-0.2808056473731994,-7.60067892074585,1.7987473011016846,2.2928967475891113,2.633239269256592,-1.0310978889465332,-1.7053439617156982,0.9234460949999999,-0.61044,3.6809,12h_st,12h,st,3h_SI4,3h,SI4,4.29134
VAE,N900_RS00390,VC_0074,-5.1304426193237305,0.9328643679618835,-5.8822221755981445,3.731064319610596,1.096249222755432,-3.223142147064209,-1.6903436183929443,-1.1527817249298096,-0.039616166666666675,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143
VAE,N900_RS00395,eamA_2,-4.033276081085205,0.2294181138277053,-1.9927551746368408,5.249145030975342,1.2656006813049316,1.1054919958114624,2.3425545692443848,-3.1829423904418945,1.3076575333333333,-0.36745,4.8676,6h_SI4,6h,SI4,6h_st,6h,st,5.23505
VAE,N900_RS00400,uspA_1,-2.861886501312256,-5.295870780944824,-1.1683709621429443,3.328348398208618,2.191087007522583,-4.046195983886719,2.445754051208496,0.3652925491333008,0.6777416833333333,-1.0016,6.4547,1h_SI4,1h,SI4,6h_ce,6h,ce,7.4563
VAE,N900_RS00410,ftnA,-4.459409713745117,1.506472110748291,-0.4373864233493805,6.216778755187988,-0.2801454663276672,-0.8531070947647095,3.117872953414917,0.0192020572721958,0.5691082033333335,-0.83519,3.5502,24h_ce,24h,ce,6h_st,6h,st,4.38539
VAE,N900_RS00415,uspB,-1.210777997970581,-0.8149437308311462,-5.63472318649292,1.7906572818756104,2.2204315662384033,3.0044071674346924,1.790632963180542,-3.403554201126098,1.58307705,-0.5983,5.368,1h_SI6,1h,SI6,3h_st,3h,st,5.9663
VAE,N900_RS00420,rdsA_BLAST,-5.675375461578369,-0.0113167315721511,-4.230786323547363,2.937058687210083,2.5108044147491455,-1.947719931602478,1.5845253467559814,-2.288245677947998,0.3981370333333334,-1.4084,3.71,6h_SI1,6h,SI1,1h_SI1,1h,SI1,5.1184
VAE,N900_RS00425,eamA_1,-7.0109381675720215,-0.1306832432746887,-0.1277328133583068,7.28931188583374,-1.3322007656097412,-0.1073569282889366,-1.00282883644104,0.8099523186683655,1.3472523999999997,-0.015277,4.29,3h_st,3h,st,6h_SI3,6h,SI3,4.305277
VAE,N900_RS00430,rmuC,-2.95184588432312,1.5297610759735107,-4.4645490646362305,5.399857044219971,-2.393287897109986,-1.9215141534805296,-1.577486276626587,-1.958858847618103,0.5036677166666667,-1.0591,4.7668,24h_SI1,24h,SI1,3h_SI3,3h,SI3,5.8259
VAE,N900_RS00440,ubiJ,-4.02039098739624,-1.110688090324402,-5.909948348999023,2.984127998352051,2.8729612827301025,-0.699589729309082,-1.818699836730957,1.8478889465332031,1.5304535166666662,-0.060119,4.8463,6h_SI3,6h,SI3,3h_SI5,3h,SI5,4.9064190000000005
VAE,N900_RS00450,tatA,-4.195437908172607,-0.6339663863182068,-3.369751214981079,0.980944812297821,1.7601255178451538,0.5672531723976135,-0.7264317870140076,0.3495513796806335,1.3249814333333334,-0.60989,7.068,1h_SI4,1h,SI4,3h_SI5,3h,SI5,7.67789
VAE,N900_RS00455,tatB,-5.475269794464111,-1.7659190893173218,-5.427108287811279,5.912931442260742,1.6085429191589355,0.86665278673172,-1.729686975479126,0.2322702407836914,1.6623136333333333,-0.048393,5.0921,24h_SI7,24h,SI7,12h_SI1,12h,SI1,5.140493
VAE,N900_RS00460,tatC,-5.0320329666137695,-1.384218454360962,-4.689754486083984,0.8014946579933167,-0.7755386829376221,2.0421648025512695,-2.230095624923706,-0.3645476400852203,1.4558110499999999,-0.33556,6.3457,1h_SI2,1h,SI2,3h_SI1,3h,SI1,6.68126
VAE,N900_RS00465,ccp,-5.126827716827393,-1.726370334625244,-5.222965240478516,6.03071403503418,3.021552324295044,-1.292758822441101,-3.977578401565552,1.2180944681167605,0.8202505083333335,-0.66306,4.3113,6h_st,6h,st,12h_SI2,12h,SI2,4.97436
VAE,N900_RS00470,dinF,-6.114131927490234,-1.3048237562179563,-4.523069381713867,4.4579033851623535,0.6022193431854248,0.7044867873191833,1.9596855640411377,-0.3107653558254242,0.811699605,-0.80583,3.963,3h_SI7,3h,SI7,6h_st,6h,st,4.76883
VAE,N900_RS00475,class I SAM-dependent methyltransferase_2,0.3719047307968139,2.2573368549346924,0.1008817851543426,2.2039577960968018,0.883029580116272,2.3750319480895996,-3.2370166778564453,0.083104133605957,1.5607054466666666,-1.2064,5.891,12h_SI4,12h,SI4,6h_SI3,6h,SI3,7.0974
VAE,N900_RS00480,lexA,-1.793716311454773,1.5287097692489624,-2.0547070503234863,1.7502119541168213,0.9419400095939636,2.0413758754730225,-2.220296621322632,-0.3945674896240234,0.63223435,-2.1795,6.2653,1h_SI4,1h,SI4,6h_SI2,6h,SI2,8.4448
VAE,N900_RS00485,plsB,0.965610146522522,-0.1561691910028457,-2.216646671295166,3.513000249862671,0.4262030124664306,1.9852157831192017,0.1903962790966034,-2.393698215484619,-0.34955572349999997,-2.5303,2.5991,12h_SI5,12h,SI5,12h_st,12h,st,5.1294
VAE,N900_RS00490,ubiA,-0.9088318347930908,2.8950600624084473,-4.546759128570557,1.7924833297729492,0.1847835481166839,5.197802543640137,-0.6836860775947571,-3.9640533924102783,1.662903361666667,-0.25003,3.8569,6h_SI9,6h,SI9,12h_st,12h,st,4.10693
