Model,Gene,Gene_display,Program1,Program2,Program3,Program4,Program5,Program6,Program7,Program8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
CPVAE,N900_RS00340,thiS,4.03113317489624,3.602717638015747,-1.700403332710266,-0.6957535743713379,-1.299215316772461,-2.69568133354187,-0.6285659670829773,2.5468881130218506,1.7268275833333335,-0.037845,4.8625,3h_ce,3h,ce,3h_st,3h,st,4.900345
CPVAE,N900_RS00345,thiG,3.627575635910034,1.765432834625244,0.1458309441804886,-0.9103657007217408,-0.719804048538208,-0.6560329794883728,0.9382149577140808,1.4263771772384644,1.2719991,-0.76005,4.8816,6h_SI5,6h,SI5,6h_SI2,6h,SI2,5.641649999999999
CPVAE,N900_RS00350,thiH,4.558968544006348,4.15532922744751,-3.3219656944274902,0.3058314323425293,-0.981189489364624,-2.371307134628296,0.6876620650291443,1.9772065877914429,1.591140666666667,-0.12643,4.3913,1h_SI9,1h,SI9,6h_SI2,6h,SI2,4.51773
CPVAE,N900_RS00355,aminopeptidase P,2.477994203567505,3.4759750366210938,-1.40372896194458,0.3824869394302368,0.4183559119701385,-2.943495512008667,0.7765495181083679,2.9535958766937256,1.48602565,-0.048651,4.2556,3h_ce,3h,ce,3h_st,3h,st,4.304251000000001
CPVAE,N900_RS00360,LysR family transcriptional regulator_1,1.4532874822616575,2.1710433959960938,-1.9360984563827517,-0.7409967184066772,-0.1833222806453704,-0.5879714488983154,-0.1762326806783676,2.0596256256103516,1.0657311433333334,-1.2061,4.6525,6h_SI1,6h,SI1,1h_st,1h,st,5.8586
CPVAE,N900_RS00365,mdtL_1,2.752126455307007,1.4584001302719116,-2.4965054988861084,-0.066122829914093,-0.6485434770584106,-1.5828770399093628,0.9835625290870668,1.9400805234909055,1.440287,0.2639,6.1683,1h_SI7,1h,SI7,6h_ce,6h,ce,5.904400000000001
CPVAE,N900_RS00370,VC_0070,-2.2268624305725098,0.999849021434784,-2.617269515991211,0.9840734601020812,0.7065397500991821,-3.7006003856658936,-0.0917801484465599,1.1560988426208496,0.9191276733333333,-1.2497,5.2072,12h_SI3,12h,SI3,6h_ce,6h,ce,6.4569
CPVAE,N900_RS00375,asnC,-0.3922064900398254,1.8765218257904053,0.8590395450592041,-1.5591585636138916,-0.3317992091178894,2.822839736938477,-0.2935442328453064,-0.0525652840733528,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972
CPVAE,N900_RS00380,VC_0072,4.386035442352295,3.189320802688598,-1.33218514919281,-1.0844078063964844,0.4180580079555511,-0.5776580572128296,0.1692773401737213,1.953022003173828,1.3673203333333335,0.04101,4.5015,6h_st,6h,st,3h_SI2,3h,SI2,4.46049
CPVAE,N900_RS00385,rsmJ,4.946742057800293,4.1664299964904785,-2.4986820220947266,-0.9191831350326538,-0.6370594501495361,-3.6473629474639897,0.389495700597763,2.175971508026123,0.9234460949999999,-0.61044,3.6809,12h_st,12h,st,3h_SI4,3h,SI4,4.29134
