VAE1,VAE2,VAE3,VAE4,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,VAE_reconstruction_MSE,VAE_cluster
-1.00177,1.603105,0.20264547,1.2280478,N900_RS00570,N900_RS00570,0.99857215,-1.6564,6.8361,6h_SI5,6h,SI5,3h_st,3h,st,8.4925,0.5614622406805786,4
-1.6054325,-0.6275746,0.49054876,-1.0845301,N900_RS00575,hemN,2.4805226666666664,0.23374,6.1352,1h_SI1,1h,SI1,6h_ce,6h,ce,5.90146,0.4924417966536014,1
-0.96392393,0.41810593,-1.9904946,-0.48880547,N900_RS00580,hemy,-0.1706919166666667,-1.6451,2.7528,12h_SI1,12h,SI1,3h_SI6,3h,SI6,4.3979,0.7824744290291817,5
-1.3262836,-0.037123505,-0.15624028,0.06067112,N900_RS00585,HemX,0.8413051166666666,-1.4146,4.5733,6h_SI1,6h,SI1,1h_st,1h,st,5.9879,0.7315177413773792,7
-0.33299625,1.2756076,-1.42571,-0.20884718,N900_RS00600,N900_RS00600,0.1175457183333332,-2.9929,4.2155,12h_SI5,12h,SI5,1h_SI1,1h,SI1,7.208399999999999,0.8813027072263987,5
-0.36838907,-0.045125525,1.563157,1.9703289,N900_RS00605,class I adenylate cyclase,0.983545725,-0.84265,2.9777,6h_SI9,6h,SI9,12h_st,12h,st,3.82035,0.160203550375412,3
-0.11104865,0.082290895,1.5752031,1.6339227,N900_RS00610,cyaY,-0.0765381166666666,-2.1613,2.7422,12h_ce,12h,ce,12h_SI3,12h,SI3,4.9035,0.2255765806960661,3
-1.2690661,0.502251,0.32485643,-0.96921045,N900_RS00615,lipoprotein,0.7600619500000002,-1.3587,4.3559,1h_SI1,1h,SI1,6h_SI4,6h,SI4,5.7146,0.7869256963369019,7
-1.1854758,0.8638054,-1.238604,1.7612038,N900_RS00620,lysA,-0.6041504833333333,-3.411,5.0984,6h_SI6,6h,SI6,1h_st,1h,st,8.5094,0.494936809546905,0
0.400953,-1.1166077,1.170439,-0.80490893,N900_RS00630,N900_RS00630,0.6924454499999999,-0.96672,3.7161,3h_SI9,3h,SI9,3h_SI4,3h,SI4,4.6828199999999995,0.2378091861089092,1
0.15886277,1.4548305,-1.5127114,-0.79575473,N900_RS00635,xerC,-0.7535026816666667,-2.9001,2.0488,6h_co,6h,co,1h_SI1,1h,SI1,4.9489,0.672337669702278,5
1.5378332,-1.0412529,-0.72669077,-0.07346581,N900_RS00640,yigB,0.86147158,-0.89298,3.8617,6h_SI2,6h,SI2,12h_SI2,12h,SI2,4.75468,0.4272992075953191,2
0.3384694,1.0690075,0.76515484,0.23410289,N900_RS00645,cdpA,1.70551305,-0.034254,4.779,1h_SI8,1h,SI8,1h_st,1h,st,4.813254,0.3387814982830171,4
0.049008355,-1.5776995,-1.3940737,0.26473808,N900_RS00650,N900_RS00650,0.754079075,-0.87026,4.0816,6h_SI1,6h,SI1,3h_SI1,3h,SI1,4.95186,0.6628748419106281,6
-1.338082,-1.4205104,0.46615386,0.036209896,N900_RS00655,membrane protein_2,0.7059646166666668,-0.90133,4.5236,3h_SI1,3h,SI1,6h_st,6h,st,5.42493,0.3660510072184452,1
1.1034977,-0.3244715,0.076339014,0.030674137,N900_RS00660,N900_RS00660,0.7008000883333333,-0.63323,3.0587,3h_st,3h,st,3h_SI4,3h,SI4,3.69193,0.3857184982868062,2
0.66828656,0.32748377,0.36662245,0.060493045,N900_RS00665,yigL,0.6587722983333334,-0.72221,4.1468,3h_SI5,3h,SI5,3h_SI1,3h,SI1,4.869009999999999,0.7234536609731385,2
-0.7910056,-0.32243243,0.08219437,0.83647984,N900_RS00670,ytpA,1.2163169666666669,-0.42223,4.4342,6h_SI4,6h,SI4,12h_st,12h,st,4.85643,0.5716805994419498,7
