Gene,Gene_display,CPVAE1,CPVAE2,CPVAE3,CPVAE4,CPVAE5,CPVAE6,CPVAE7,CPVAE8,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,CPVAE_cluster
N900_RS00400,uspA_1,-1.1311709,1.2301922,-0.49039528,0.3865348,-1.5167475,0.2793265,-0.4733903,0.39134547,0.6777416833333333,-1.0016,6.4547,1h_SI4,1h,SI4,6h_ce,6h,ce,7.4563,1
N900_RS00410,ftnA,1.0156106,2.8942046,-0.48178515,-1.5110935,-2.2779849,-0.47328827,0.34431446,-1.3278375,0.5691082033333335,-0.83519,3.5502,24h_ce,24h,ce,6h_st,6h,st,4.38539,1
N900_RS00415,uspB,4.878766,1.8399718,-0.3892546,0.52341074,-0.70496607,-2.2710683,0.372793,0.78459877,1.58307705,-0.5983,5.368,1h_SI6,1h,SI6,3h_st,3h,st,5.9663,0
N900_RS00420,rdsA_BLAST,1.197479,1.6395646,-1.5131637,-1.5194815,-0.22135805,-0.33254427,-0.43154326,0.92482555,0.3981370333333334,-1.4084,3.71,6h_SI1,6h,SI1,1h_SI1,1h,SI1,5.1184,1
N900_RS00425,eamA_1,3.0610678,3.3743486,-0.5775968,-0.847169,-0.4793237,0.6051349,1.7135236,0.051973034,1.3472523999999997,-0.015277,4.29,3h_st,3h,st,6h_SI3,6h,SI3,4.305277,1
N900_RS00430,rmuC,4.341326,1.4214045,-1.5827297,-2.238155,-1.8203439,0.8445462,-0.12976567,2.275177,0.5036677166666667,-1.0591,4.7668,24h_SI1,24h,SI1,3h_SI3,3h,SI3,5.8259,0
N900_RS00440,ubiJ,1.945024,3.234881,-2.7904787,0.12777472,-1.2185751,-1.7218002,-0.48252133,1.2871112,1.5304535166666662,-0.060119,4.8463,6h_SI3,6h,SI3,3h_SI5,3h,SI5,4.9064190000000005,0
N900_RS00450,tatA,0.6357076,2.9219682,-1.2536825,-0.60083365,0.044176698,-1.9544457,0.78977126,0.75555784,1.3249814333333334,-0.60989,7.068,1h_SI4,1h,SI4,3h_SI5,3h,SI5,7.67789,1
N900_RS00455,tatB,4.757195,3.5088184,-2.6571295,0.46801192,-1.3108327,-0.58171636,0.47772714,1.9008505,1.6623136333333333,-0.048393,5.0921,24h_SI7,24h,SI7,12h_SI1,12h,SI1,5.140493,0
N900_RS00460,tatC,2.2775974,2.2659328,-2.9320865,0.58855176,1.5907055,-2.4125645,0.84049505,1.9374212,1.4558110499999999,-0.33556,6.3457,1h_SI2,1h,SI2,3h_SI1,3h,SI1,6.68126,0
N900_RS00465,ccp,3.6754045,4.2706704,-1.924216,-0.5757143,-1.738528,0.6487884,0.37236372,2.0369916,0.8202505083333335,-0.66306,4.3113,6h_st,6h,st,12h_SI2,12h,SI2,4.97436,0
N900_RS00470,dinF,3.678162,2.5226357,-2.9189188,0.010936163,-0.8335167,-2.4960153,0.7149057,0.4370684,0.811699605,-0.80583,3.963,3h_SI7,3h,SI7,6h_st,6h,st,4.76883,0
N900_RS00475,class I SAM-dependent methyltransferase_2,2.7744472,0.8668328,1.1775006,0.28870782,0.6066419,1.8675314,0.6777997,-0.5173698,1.5607054466666666,-1.2064,5.891,12h_SI4,12h,SI4,6h_SI3,6h,SI3,7.0974,1
N900_RS00480,lexA,3.2442315,1.3860317,0.19848967,-0.40725604,0.43251416,0.37269098,1.1112307,0.48507157,0.63223435,-2.1795,6.2653,1h_SI4,1h,SI4,6h_SI2,6h,SI2,8.4448,1
N900_RS00485,plsB,3.0178227,0.53469086,0.8382377,0.91818154,-0.15859593,1.3652593,-0.099558115,-0.65352046,-0.34955572349999997,-2.5303,2.5991,12h_SI5,12h,SI5,12h_st,12h,st,5.1294,1
N900_RS00490,ubiA,6.737317,1.6303635,0.140975,-0.0475161,0.43586287,-0.44787714,0.082828395,-0.27082142,1.662903361666667,-0.25003,3.8569,6h_SI9,6h,SI9,12h_st,12h,st,4.10693,0
N900_RS00495,chorismate lyase,2.048965,4.2039433,-3.8065875,-0.72319376,-0.78330135,-2.873059,0.347314,2.2715018,1.5326033333333333,0.35757,5.65,1h_SI7,1h,SI7,3h_SI4,3h,SI4,5.29243,0
N900_RS00505,fliL_2,-0.16282389,1.0698173,1.0254683,-0.8009252,0.09668267,2.1047888,-0.4248874,0.40216973,0.62630315,-1.1791,4.6909,12h_SI1,12h,SI1,6h_ce,6h,ce,5.87,1
N900_RS00510,methyl-accepting chemotaxis protein_4,2.345171,2.610357,-0.00023073703,-2.0732205,-2.0804498,1.889306,0.052316688,1.7362002,0.5143753383333334,-0.88686,4.4865,6h_SI1,6h,SI1,3h_SI3,3h,SI3,5.37336,1
N900_RS00515,glpG,4.81029,3.423407,-1.2100694,-0.111427315,-0.007020697,-0.7327935,0.21255112,2.2889006,1.3559726438333333,-0.029649,4.2055,3h_SI6,3h,SI6,3h_SI2,3h,SI2,4.235149,0
N900_RS00520,glpE,2.9447963,2.3821962,0.66645074,-2.0558581,-0.7655133,1.6792881,0.8318898,0.6708743,0.17198755000000002,-1.8139,3.3697,6h_ce,6h,ce,3h_SI3,3h,SI3,5.1836,1
N900_RS00525,VC_0101,-1.0770682,1.8812199,-1.4613833,-3.8991263,-2.546232,-0.60386276,-0.08359309,1.2449765,-0.5902245206666665,-2.5925,3.1908,24h_st,24h,st,1h_SI1,1h,SI1,5.7833,1
N900_RS00530,tatd,-2.370427,0.006830603,0.44039822,-2.5763898,0.5694511,-0.39519894,-0.03669569,-0.94391054,-0.7705138500000001,-2.6296,2.9959,24h_st,24h,st,3h_SI5,3h,SI5,5.6255,1
N900_RS00540,ypeA_1,2.823114,2.3472698,-3.8502173,-1.9214566,-0.5707494,-3.6045532,1.5099072,0.9727181,0.1845046133333334,-1.1433,3.5878,3h_SI3,3h,SI3,1h_SI1,1h,SI1,4.7311,0
N900_RS00555,cc4,1.4739025,2.8930035,-1.1755978,-0.8355707,-0.70203865,-0.52016956,1.1743293,1.8731536,1.3794895216666665,-0.6652,6.5821,1h_SI5,1h,SI5,6h_SI4,6h,SI4,7.247299999999999,1
N900_RS00560,class I SAM-dependent methyltransferase_4,4.9887676,3.6000917,-1.1156057,-1.0848662,-0.3911483,-2.193173,0.19980845,0.7862949,1.0447400999999998,-0.16738,3.3627,24h_SI9,24h,SI9,3h_SI2,3h,SI2,3.53008,0
