Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
fbp VC_2544	GO:0000287; GO:0005737; GO:0005829; GO:0006000; GO:0006002; GO:0006094; GO:0030388; GO:0042132	fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; magnesium ion binding [GO:0000287]
mpl VC_2542	GO:0005524; GO:0005737; GO:0008360; GO:0009252; GO:0009254; GO:0051301; GO:0071555; GO:0106418	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase activity [GO:0106418]
thiQ VC_2537	GO:0005524; GO:0005886; GO:0016887; GO:0048502		plasma membrane [GO:0005886]	ABC-type thiamine transporter activity [GO:0048502]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
lptC VC_2525	GO:0005886; GO:0015221; GO:0015920; GO:0017089; GO:0030288; GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; lipopolysaccharide transport [GO:0015920]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]	glycolipid transfer activity [GO:0017089]; lipopolysaccharide transmembrane transporter activity [GO:0015221]
VC_2523	GO:0005975; GO:0019146; GO:0046872; GO:0097367; GO:1901135	carbohydrate derivative metabolic process [GO:1901135]; carbohydrate metabolic process [GO:0005975]		arabinose-5-phosphate isomerase activity [GO:0019146]; carbohydrate derivative binding [GO:0097367]; metal ion binding [GO:0046872]
murA VC_2514	GO:0005737; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	cytoplasm [GO:0005737]	UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]
pyrB VC_2510	GO:0004070; GO:0005737; GO:0006207; GO:0006541; GO:0016597; GO:0044205	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]	cytoplasm [GO:0005737]	amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]
argF VC_2508	GO:0004585; GO:0005737; GO:0006526; GO:0016597; GO:0019240; GO:0042450	arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240]; L-arginine biosynthetic process [GO:0006526]	cytoplasm [GO:0005737]	amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]
rapA hepA VC_2506	GO:0003677; GO:0004386; GO:0005524; GO:0006281; GO:0006355; GO:0016817	DNA repair [GO:0006281]; regulation of DNA-templated transcription [GO:0006355]		ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; hydrolase activity, acting on acid anhydrides [GO:0016817]
rluA VC_2505	GO:0000455; GO:0003723; GO:0008033; GO:0009982; GO:0160142; GO:0160151	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; tRNA processing [GO:0008033]		23S rRNA pseudouridine(746) synthase activity [GO:0160142]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine(32) synthase activity [GO:0160151]
valS VC_2503	GO:0002161; GO:0004832; GO:0005524; GO:0005829; GO:0006438	valyl-tRNA aminoacylation [GO:0006438]	cytosol [GO:0005829]	aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832]
leuC VC_2492	GO:0003861; GO:0009098; GO:0046872; GO:0051539	L-leucine biosynthetic process [GO:0009098]		3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]
