Gene Names	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)
VC_2151				
VC_2150				
VC_2149				
VC_2148				
VC_2147	GO:0016020		membrane [GO:0016020]	
VC_2146	GO:0016020		membrane [GO:0016020]	
VC_2145	GO:0004601; GO:0005829; GO:0020037; GO:0046872		cytosol [GO:0005829]	heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]
VC_2139				
VC_2137	GO:0000987; GO:0001216; GO:0005524; GO:0032993; GO:0045893	positive regulation of DNA-templated transcription [GO:0045893]	protein-DNA complex [GO:0032993]	ATP binding [GO:0005524]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity [GO:0001216]
VC_2128	GO:0009424; GO:0044780; GO:0071973	bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]	bacterial-type flagellum hook [GO:0009424]	
VC_2117				
VC_2115	GO:0005886		plasma membrane [GO:0005886]	
VC_2114				
VC_2113				
VC_2112				
VC_2111	GO:0005829; GO:0010181; GO:0016491		cytosol [GO:0005829]	FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491]
VC_2105				
VC_2104				
VC_2103	GO:0003700; GO:0005829; GO:0006355; GO:0043565	regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
VC_2102				
VC_2101	GO:0005886		plasma membrane [GO:0005886]	
VC_2100	GO:0016020		membrane [GO:0016020]	
VC_2099	GO:0009055; GO:0010181			electron transfer activity [GO:0009055]; FMN binding [GO:0010181]
VC_2098	GO:0016020		membrane [GO:0016020]	
VC_2097	GO:0016787			hydrolase activity [GO:0016787]
VC_2094				
VC_2080	GO:0000976; GO:0003700; GO:0006355; GO:0016020	regulation of DNA-templated transcription [GO:0006355]	membrane [GO:0016020]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
VC_2079				
VC_2078	GO:0006974; GO:0046914	DNA damage response [GO:0006974]		transition metal ion binding [GO:0046914]
VC_2076				
VC_2075	GO:0003824			catalytic activity [GO:0003824]
VC_2073	GO:0005829		cytosol [GO:0005829]	
VC_2071				
VC_2070	GO:0005737; GO:0070297; GO:0101006	regulation of phosphorelay signal transduction system [GO:0070297]	cytoplasm [GO:0005737]	protein histidine phosphatase activity [GO:0101006]
VC_2067	GO:0005524; GO:0005829; GO:0009898; GO:0016887		cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
VC_2061				
VC_2060	GO:0006935; GO:0007165	chemotaxis [GO:0006935]; signal transduction [GO:0007165]		
VC_2059	GO:0005829; GO:0006935; GO:0007165	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	cytosol [GO:0005829]	
VC_2058	GO:0016020		membrane [GO:0016020]	
VC_2048	GO:0016020; GO:0120010	intermembrane phospholipid transfer [GO:0120010]	membrane [GO:0016020]	
VC_2047	GO:0016491			oxidoreductase activity [GO:0016491]
VC_2046				
VC_2042	GO:0004407; GO:0040029	epigenetic regulation of gene expression [GO:0040029]		histone deacetylase activity [GO:0004407]
VC_2041	GO:0005886		plasma membrane [GO:0005886]	
VC_2040				
VC_2039	GO:0003690; GO:0003727; GO:0005737; GO:0043590		bacterial nucleoid [GO:0043590]; cytoplasm [GO:0005737]	double-stranded DNA binding [GO:0003690]; single-stranded RNA binding [GO:0003727]
VC_2038	GO:0000160; GO:0004672; GO:0016020	phosphorelay signal transduction system [GO:0000160]	membrane [GO:0016020]	protein kinase activity [GO:0004672]
VC_2037	GO:0005886; GO:0015385		plasma membrane [GO:0005886]	sodium:proton antiporter activity [GO:0015385]
VC_2035	GO:0005886		plasma membrane [GO:0005886]	
VC_2034				
VC_2032	GO:0016020; GO:0055085	transmembrane transport [GO:0055085]	membrane [GO:0016020]	
VC_2031	GO:0016020		membrane [GO:0016020]	
VC_2029				
VC_2026	GO:0005829; GO:0042254	ribosome biogenesis [GO:0042254]	cytosol [GO:0005829]	
VC_2014	GO:0004536; GO:0005829; GO:0016788; GO:0046872		cytosol [GO:0005829]	DNA nuclease activity [GO:0004536]; hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]
VC_2012	GO:0005886; GO:0015293; GO:0035725	sodium ion transmembrane transport [GO:0035725]	plasma membrane [GO:0005886]	symporter activity [GO:0015293]
VC_2011				
VC_2010	GO:0016020		membrane [GO:0016020]	
VC_2009	GO:0016042; GO:0016787	lipid catabolic process [GO:0016042]		hydrolase activity [GO:0016787]
VC_2007	GO:0003677; GO:0006351; GO:0006355; GO:0046872	DNA-templated transcription [GO:0006351]; regulation of DNA-templated transcription [GO:0006355]		DNA binding [GO:0003677]; metal ion binding [GO:0046872]
VC_2006	GO:0000160; GO:0006935	chemotaxis [GO:0006935]; phosphorelay signal transduction system [GO:0000160]		
VC_2005				
VC_2004				
VC_2003	GO:0008168; GO:0046872			metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]
VC_2002				
VC_1999				
VC_1997				
VC_1996				
VC_1994	GO:0004252; GO:0006465; GO:0016020	signal peptide processing [GO:0006465]	membrane [GO:0016020]	serine-type endopeptidase activity [GO:0004252]
VC_1993	GO:0008670; GO:0010181; GO:0033543	fatty acid beta-oxidation, unsaturated, even number, reductase/isomerase pathway [GO:0033543]		2,4-dienoyl-CoA reductase (NADPH) activity [GO:0008670]; FMN binding [GO:0010181]
VC_1991				
VC_1989	GO:0002949; GO:0005829	tRNA threonylcarbamoyladenosine modification [GO:0002949]	cytosol [GO:0005829]	
VC_1988				
VC_1987	GO:0019867		outer membrane [GO:0019867]	
VC_1986	GO:0016787			hydrolase activity [GO:0016787]
VC_1983	GO:0004222; GO:0006508; GO:0006518; GO:0046872	peptide metabolic process [GO:0006518]; proteolysis [GO:0006508]		metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
VC_1982				
VC_1981	GO:0004252; GO:0016020		membrane [GO:0016020]	serine-type endopeptidase activity [GO:0004252]
VC_1980	GO:0008033; GO:0016432	tRNA processing [GO:0008033]		tRNA-uridine aminocarboxypropyltransferase activity [GO:0016432]
VC_1979	GO:0006203; GO:0008832	dGTP catabolic process [GO:0006203]		dGTPase activity [GO:0008832]
VC_1971	GO:0005524; GO:0008756; GO:0009234	menaquinone biosynthetic process [GO:0009234]		ATP binding [GO:0005524]; o-succinylbenzoate-CoA ligase activity [GO:0008756]
VC_1970	GO:0005886; GO:0042925		plasma membrane [GO:0005886]	benzoate transmembrane transporter activity [GO:0042925]
VC_1969				
VC_1968	GO:0003677; GO:0003700; GO:0006355; GO:0046872	regulation of DNA-templated transcription [GO:0006355]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]
VC_1967	GO:0005886; GO:0006935; GO:0007165	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	plasma membrane [GO:0005886]	
VC_1966	GO:0003841; GO:0005886; GO:0006654; GO:0022857	phosphatidic acid biosynthetic process [GO:0006654]	plasma membrane [GO:0005886]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; transmembrane transporter activity [GO:0022857]
VC_1965				
VC_1963				
VC_1962				
VC_1958				
VC_1957				
VC_1956	GO:0008933; GO:0009253	peptidoglycan catabolic process [GO:0009253]		peptidoglycan lytic transglycosylase activity [GO:0008933]
VC_1955	GO:0003700; GO:0006351; GO:0043565	DNA-templated transcription [GO:0006351]		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
VC_1954				
VC_1949	GO:0016706			2-oxoglutarate-dependent dioxygenase activity [GO:0016706]
VC_1948				
VC_1947	GO:0003700; GO:0006351; GO:0043565	DNA-templated transcription [GO:0006351]		DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
VC_1946				
VC_1945	GO:0016491; GO:0016709; GO:0071949			FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]
VC_1944	GO:0016706			2-oxoglutarate-dependent dioxygenase activity [GO:0016706]
VC_1943				
VC_1941	GO:0016020		membrane [GO:0016020]	
VC_1939	GO:0005886; GO:0042968; GO:0042970	homoserine transport [GO:0042968]	plasma membrane [GO:0005886]	homoserine transmembrane transporter activity [GO:0042970]
VC_1938	GO:0047617			fatty acyl-CoA hydrolase activity [GO:0047617]
VC_1937	GO:0003841; GO:0006654; GO:0016020	phosphatidic acid biosynthetic process [GO:0006654]	membrane [GO:0016020]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]
VC_1935	GO:0008654; GO:0016020; GO:0016780	phospholipid biosynthetic process [GO:0008654]	membrane [GO:0016020]	phosphotransferase activity, for other substituted phosphate groups [GO:0016780]
VC_1934	GO:0005886; GO:0071111; GO:1900190	regulation of single-species biofilm formation [GO:1900190]	plasma membrane [GO:0005886]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]
VC_1933				
VC_1932				
VC_1930				
VC_1924				
VC_1918	GO:0003755; GO:0005886		plasma membrane [GO:0005886]	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]
VC_1917	GO:0003677; GO:0006281; GO:0015627; GO:0015628	DNA repair [GO:0006281]; protein secretion by the type II secretion system [GO:0015628]	type II protein secretion system complex [GO:0015627]	DNA binding [GO:0003677]
VC_1910	GO:0006400; GO:0045301	tRNA modification [GO:0006400]		tRNA 2-(methylsulfanyl)-N(6)-isopentenyladenosine(37) hydroxylase activity [GO:0045301]
VC_1909	GO:0016020		membrane [GO:0016020]	
VC_1908				
VC_1907	GO:0000976; GO:0003700; GO:0006355; GO:0019344	cysteine biosynthetic process [GO:0019344]; regulation of DNA-templated transcription [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
VC_1906				
VC_1899	GO:0003676			nucleic acid binding [GO:0003676]
VC_1898	GO:0004888; GO:0005886; GO:0006935; GO:0007165	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	plasma membrane [GO:0005886]	transmembrane signaling receptor activity [GO:0004888]
VC_1897	GO:0005737; GO:0005829; GO:0043530; GO:0055130	D-alanine catabolic process [GO:0055130]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	adenosine 5'-monophosphoramidase activity [GO:0043530]
VC_1896				
VC_1895				
VC_1894	GO:0009252; GO:0030234; GO:0031241	peptidoglycan biosynthetic process [GO:0009252]	periplasmic side of cell outer membrane [GO:0031241]	enzyme regulator activity [GO:0030234]
VC_1893				
VC_1892	GO:0005829; GO:0016788		cytosol [GO:0005829]	hydrolase activity, acting on ester bonds [GO:0016788]
VC_1891				
VC_1890	GO:0008137			NADH dehydrogenase (ubiquinone) activity [GO:0008137]
VC_1889	GO:0005737; GO:0008999; GO:1990189		cytoplasm [GO:0005737]	protein N-terminal-serine acetyltransferase activity [GO:1990189]; protein-N-terminal-alanine acetyltransferase activity [GO:0008999]
VC_1888	GO:0046872			metal ion binding [GO:0046872]
VC_1887				
VC_1885				
VC_1884	GO:0042953; GO:0044874; GO:0098797	lipoprotein localization to outer membrane [GO:0044874]; lipoprotein transport [GO:0042953]	plasma membrane protein complex [GO:0098797]	
VC_1882	GO:0042953; GO:0044874; GO:0098797	lipoprotein localization to outer membrane [GO:0044874]; lipoprotein transport [GO:0042953]	plasma membrane protein complex [GO:0098797]	
VC_1881				
VC_1880	GO:0016020		membrane [GO:0016020]	
VC_1879	GO:0005886; GO:0030420	establishment of competence for transformation [GO:0030420]	plasma membrane [GO:0005886]	
VC_1876	GO:0005829		cytosol [GO:0005829]	
VC_1874				
VC_1873				
VC_1871				
VC_1870	GO:0000041; GO:0005886	transition metal ion transport [GO:0000041]	plasma membrane [GO:0005886]	
VC_1867				
VC_1865	GO:0016020		membrane [GO:0016020]	
VC_1864	GO:0005524; GO:0005886; GO:0015424; GO:0016887; GO:0042626		plasma membrane [GO:0005886]	ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]
VC_1863	GO:0015276; GO:0016020; GO:0016597; GO:0030288		membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]	amino acid binding [GO:0016597]; ligand-gated monoatomic ion channel activity [GO:0015276]
VC_1862	GO:0005886; GO:0006865; GO:0022857; GO:0043190	amino acid transport [GO:0006865]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]
VC_1859	GO:0006935; GO:0007165; GO:0016020	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	membrane [GO:0016020]	
VC_1858				
VC_1857				
VC_1856	GO:0005886		plasma membrane [GO:0005886]	
VC_1854	GO:0009279; GO:0015288; GO:0046930		cell outer membrane [GO:0009279]; pore complex [GO:0046930]	porin activity [GO:0015288]
VC_1853				
VC_1852				
VC_1851				
VC_1842	GO:0016020		membrane [GO:0016020]	
VC_1841	GO:0016020		membrane [GO:0016020]	
VC_1840	GO:0047617			fatty acyl-CoA hydrolase activity [GO:0047617]
VC_1837	GO:0016020; GO:0019534; GO:0043213	bacteriocin transport [GO:0043213]	membrane [GO:0016020]	toxin transmembrane transporter activity [GO:0019534]
VC_1832				
VC_1830				
VC_1829				
VC_1825	GO:0000976; GO:0003700; GO:0006355	regulation of DNA-templated transcription [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
VC_1824				
VC_1823	GO:0009401; GO:0016301; GO:0022877	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]		kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]
VC_1820				
VC_1819	GO:0004030; GO:0016491			aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; oxidoreductase activity [GO:0016491]
VC_1818				
VC_1817	GO:0000987; GO:0001216; GO:0005524; GO:0032993; GO:0045893	positive regulation of DNA-templated transcription [GO:0045893]	protein-DNA complex [GO:0032993]	ATP binding [GO:0005524]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity [GO:0001216]
VC_1816	GO:0003677			DNA binding [GO:0003677]
VC_1815	GO:0005737; GO:0016491		cytoplasm [GO:0005737]	oxidoreductase activity [GO:0016491]
VC_1813				
VC_1812	GO:0015035			protein-disulfide reductase activity [GO:0015035]
VC_1811	GO:0004540			RNA nuclease activity [GO:0004540]
VC_1810				
VC_1809				
VC_1808				
VC_1806	GO:0005525			GTP binding [GO:0005525]
VC_1805				
VC_1804				
VC_1803	GO:0003677			DNA binding [GO:0003677]
VC_1802				
VC_1801				
VC_1800				
VC_1799	GO:0003676; GO:0015074	DNA integration [GO:0015074]		nucleic acid binding [GO:0003676]
VC_1798	GO:0016887			ATP hydrolysis activity [GO:0016887]
VC_1797				
VC_1796				
VC_1795				
VC_1794				
VC_1793				
VC_1792				
VC_1791				
VC_1787				
VC_1785				
VC_1783	GO:0006046; GO:0008448; GO:0046872	N-acetylglucosamine catabolic process [GO:0006046]		metal ion binding [GO:0046872]; N-acetylglucosamine-6-phosphate deacetylase activity [GO:0008448]
VC_1780				
VC_1776	GO:0005737; GO:0016829		cytoplasm [GO:0005737]	lyase activity [GO:0016829]
VC_1775	GO:0003677; GO:0003700; GO:0006355; GO:0097367; GO:1901135	carbohydrate derivative metabolic process [GO:1901135]; regulation of DNA-templated transcription [GO:0006355]		carbohydrate derivative binding [GO:0097367]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
VC_1773				
VC_1772				
VC_1771				
VC_1770				
VC_1768	GO:0003677; GO:0009307; GO:0019812	DNA restriction-modification system [GO:0009307]	type I site-specific deoxyribonuclease complex [GO:0019812]	DNA binding [GO:0003677]
VC_1767				
VC_1766				
VC_1764	GO:0016020		membrane [GO:0016020]	
VC_1763	GO:0071973; GO:0120101	bacterial-type flagellum-dependent cell motility [GO:0071973]	bacterial-type flagellum stator complex [GO:0120101]	
VC_1762				
VC_1761				
VC_1758	GO:0003677; GO:0006310; GO:0008979; GO:0032359	DNA recombination [GO:0006310]; provirus excision [GO:0032359]		DNA binding [GO:0003677]; prophage integrase activity [GO:0008979]
VC_1757	GO:0005886; GO:0042910		plasma membrane [GO:0005886]	xenobiotic transmembrane transporter activity [GO:0042910]
VC_1756	GO:0015562; GO:1990281		efflux pump complex [GO:1990281]	efflux transmembrane transporter activity [GO:0015562]
VC_1755				
VC_1754	GO:0005886; GO:0061024	membrane organization [GO:0061024]	plasma membrane [GO:0005886]	
VC_1753	GO:0005886; GO:0061024	membrane organization [GO:0061024]	plasma membrane [GO:0005886]	
VC_1752	GO:0016020		membrane [GO:0016020]	
VC_1750				
VC_1749	GO:0019867		outer membrane [GO:0019867]	
VC_1748				
VC_1747				
VC_1745	GO:0004777; GO:0005829; GO:0009450	gamma-aminobutyric acid catabolic process [GO:0009450]	cytosol [GO:0005829]	succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]
VC_1744				
VC_1743	GO:0019148			D-cysteine desulfhydrase activity [GO:0019148]
VC_1742	GO:0016020		membrane [GO:0016020]	
VC_1741	GO:0000976; GO:0003700; GO:0006355	regulation of DNA-templated transcription [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
VC_1734				
VC_1733	GO:0016020		membrane [GO:0016020]	
VC_1731				
VC_1729				
VC_1728				
VC_1725	GO:0016787			hydrolase activity [GO:0016787]
VC_1724				
VC_1723	GO:0005886		plasma membrane [GO:0005886]	
VC_1722	GO:0006355; GO:0030420	establishment of competence for transformation [GO:0030420]; regulation of DNA-templated transcription [GO:0006355]		
VC_1713	GO:0005829; GO:0006355; GO:0006524; GO:0043201; GO:0043565	alanine catabolic process [GO:0006524]; regulation of DNA-templated transcription [GO:0006355]; response to L-leucine [GO:0043201]	cytosol [GO:0005829]	sequence-specific DNA binding [GO:0043565]
VC_1712	GO:0005886; GO:0015171; GO:0033228	cysteine export across plasma membrane [GO:0033228]	plasma membrane [GO:0005886]	amino acid transmembrane transporter activity [GO:0015171]
VC_1710	GO:0005886; GO:0006355; GO:0071111; GO:1900190	regulation of DNA-templated transcription [GO:0006355]; regulation of single-species biofilm formation [GO:1900190]	plasma membrane [GO:0005886]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]
VC_1709	GO:0004222; GO:0006508; GO:0046872	proteolysis [GO:0006508]		metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
VC_1708	GO:0016020		membrane [GO:0016020]	
VC_1707				
VC_1705				
VC_1703	GO:0046872			metal ion binding [GO:0046872]
VC_1702				
VC_1699				
VC_1698	GO:0005886		plasma membrane [GO:0005886]	
VC_1697				
VC_1696				
VC_1694	GO:0016020		membrane [GO:0016020]	
VC_1691				
VC_1690	GO:0004557; GO:0016052	carbohydrate catabolic process [GO:0016052]		alpha-galactosidase activity [GO:0004557]
VC_1689				
VC_1688	GO:0016020		membrane [GO:0016020]	
VC_1686				
VC_1685				
VC_1684	GO:0005524; GO:0005886; GO:0015489; GO:0016887		plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; putrescine transmembrane transporter activity [GO:0015489]
VC_1683	GO:0005524; GO:0005886; GO:0015489; GO:0015833; GO:0016887	peptide transport [GO:0015833]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; putrescine transmembrane transporter activity [GO:0015489]
VC_1682	GO:0005886; GO:0015489		plasma membrane [GO:0005886]	putrescine transmembrane transporter activity [GO:0015489]
VC_1681	GO:0005886; GO:0071916		plasma membrane [GO:0005886]	dipeptide transmembrane transporter activity [GO:0071916]
VC_1680	GO:0015833; GO:0030288; GO:0043190; GO:1904680	peptide transport [GO:0015833]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; outer membrane-bounded periplasmic space [GO:0030288]	peptide transmembrane transporter activity [GO:1904680]
VC_1679	GO:0000987; GO:0001216; GO:0005524; GO:0032993; GO:0045893	positive regulation of DNA-templated transcription [GO:0045893]	protein-DNA complex [GO:0032993]	ATP binding [GO:0005524]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity [GO:0001216]
VC_1678	GO:0005829; GO:0009271	phage shock [GO:0009271]	cytosol [GO:0005829]	
VC_1677	GO:0006355; GO:0009271; GO:0016020	phage shock [GO:0009271]; regulation of DNA-templated transcription [GO:0006355]	membrane [GO:0016020]	
VC_1676	GO:0005886		plasma membrane [GO:0005886]	
VC_1675	GO:0015562; GO:1990281		efflux pump complex [GO:1990281]	efflux transmembrane transporter activity [GO:0015562]
VC_1674	GO:0015562; GO:1990281		efflux pump complex [GO:1990281]	efflux transmembrane transporter activity [GO:0015562]
VC_1673	GO:0005886; GO:0042910		plasma membrane [GO:0005886]	xenobiotic transmembrane transporter activity [GO:0042910]
VC_1669	GO:0016020		membrane [GO:0016020]	
VC_1668	GO:0000455; GO:0003723; GO:0009982; GO:0140098	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]		catalytic activity, acting on RNA [GO:0140098]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]
VC_1667	GO:0008654; GO:0016020; GO:0016780	phospholipid biosynthetic process [GO:0008654]	membrane [GO:0016020]	phosphotransferase activity, for other substituted phosphate groups [GO:0016780]
VC_1666	GO:0005524; GO:0015423; GO:0016887; GO:0055052; GO:1990060		ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; maltose transport complex [GO:1990060]	ABC-type maltose transporter activity [GO:0015423]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
VC_1665	GO:0005886; GO:0055085	transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	
VC_1664				
VC_1663				
VC_1662				
VC_1661				
VC_1659	GO:0030313; GO:0046677	response to antibiotic [GO:0046677]	cell envelope [GO:0030313]	
VC_1658	GO:0003333; GO:0005886; GO:0006865; GO:0022857	amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]	plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]
VC_1657				
VC_1656	GO:0005886; GO:0016020		membrane [GO:0016020]; plasma membrane [GO:0005886]	
VC_1654				
VC_1651	GO:0000160	phosphorelay signal transduction system [GO:0000160]		
VC_1649	GO:0004252; GO:0006508; GO:0016020	proteolysis [GO:0006508]	membrane [GO:0016020]	serine-type endopeptidase activity [GO:0004252]
VC_1648				
VC_1647	GO:0003677; GO:0015833; GO:1904680	peptide transport [GO:0015833]		DNA binding [GO:0003677]; peptide transmembrane transporter activity [GO:1904680]
VC_1646				
VC_1645	GO:0008877			glucose-1-phosphatase activity [GO:0008877]
VC_1644				
VC_1643	GO:0004888; GO:0006935; GO:0007165; GO:0016020	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	membrane [GO:0016020]	transmembrane signaling receptor activity [GO:0004888]
VC_1642				
VC_1641	GO:0005886; GO:0071111; GO:1900190	regulation of single-species biofilm formation [GO:1900190]	plasma membrane [GO:0005886]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]
VC_1638	GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0032993	regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]
VC_1637				
VC_1636	GO:0003677; GO:0004386; GO:0005524; GO:0006412; GO:0016887	translation [GO:0006412]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]
VC_1633				
VC_1632	GO:0016020		membrane [GO:0016020]	
VC_1631	GO:0005886; GO:0015297; GO:0042910		plasma membrane [GO:0005886]	antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]
VC_1630	GO:0005524; GO:0005886; GO:0016887; GO:0022857; GO:0055085	transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]
VC_1629	GO:0005886		plasma membrane [GO:0005886]	
VC_1628	GO:0016020		membrane [GO:0016020]	
VC_1622	GO:0005509; GO:0009279; GO:0071973; GO:0120101	bacterial-type flagellum-dependent cell motility [GO:0071973]	bacterial-type flagellum stator complex [GO:0120101]; cell outer membrane [GO:0009279]	calcium ion binding [GO:0005509]
VC_1621	GO:0009279; GO:0015288; GO:0015562; GO:1990281		cell outer membrane [GO:0009279]; efflux pump complex [GO:1990281]	efflux transmembrane transporter activity [GO:0015562]; porin activity [GO:0015288]
VC_1619				
VC_1618	GO:0005886; GO:0022857		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]
VC_1617	GO:0003700; GO:0005829; GO:0006355; GO:0043565	regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
VC_1616	GO:0009055; GO:0045454	cell redox homeostasis [GO:0045454]		electron transfer activity [GO:0009055]
VC_1615				
VC_1613	GO:0016020		membrane [GO:0016020]	
VC_1612	GO:0003729; GO:0006397	mRNA processing [GO:0006397]		mRNA binding [GO:0003729]
VC_1610				
VC_1609	GO:0005886; GO:0140359		plasma membrane [GO:0005886]	ABC-type transporter activity [GO:0140359]
VC_1608	GO:0005886; GO:0140359		plasma membrane [GO:0005886]	ABC-type transporter activity [GO:0140359]
VC_1607				
VC_1604	GO:0000156; GO:0003677; GO:0003700; GO:0005737		cytoplasm [GO:0005737]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; phosphorelay response regulator activity [GO:0000156]
VC_1603				
VC_1602	GO:0000160; GO:0006935	chemotaxis [GO:0006935]; phosphorelay signal transduction system [GO:0000160]		
VC_1601				
VC_1600				
VC_1598				
VC_1597	GO:0005886; GO:0022857; GO:0055085	transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]
VC_1593	GO:0016020; GO:0052621; GO:0061939	c-di-GMP signaling [GO:0061939]	membrane [GO:0016020]	diguanylate cyclase activity [GO:0052621]
VC_1592	GO:0005886; GO:0071111		plasma membrane [GO:0005886]	cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]
VC_1591	GO:0016491			oxidoreductase activity [GO:0016491]
VC_1588	GO:0003677; GO:0003700; GO:0006355; GO:0032993	regulation of DNA-templated transcription [GO:0006355]	protein-DNA complex [GO:0032993]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
VC_1587	GO:0005886; GO:1901530	response to hypochlorite [GO:1901530]	plasma membrane [GO:0005886]	
VC_1586				
VC_1584				
VC_1580	GO:0000976; GO:0003700; GO:0006355	regulation of DNA-templated transcription [GO:0006355]		DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]
VC_1579				
VC_1578				
VC_1577	GO:0005886; GO:0009245; GO:0016020; GO:0016746	lipid A biosynthetic process [GO:0009245]	membrane [GO:0016020]; plasma membrane [GO:0005886]	acyltransferase activity [GO:0016746]
VC_1575	GO:0016020		membrane [GO:0016020]	
VC_1574	GO:0016020		membrane [GO:0016020]	
VC_1572				
