Model,Rank,Program,Time,Space,Value,Requested_rank
PCA,10,PC2,1h,st,0.4951475184979731,4
PCA,10,PC2,1h,SI1,0.8250354400737413,4
PCA,10,PC2,1h,SI2,0.1898519488907101,4
PCA,10,PC2,1h,SI3,-0.2698718364259952,4
PCA,10,PC2,1h,SI4,-0.3992267220469103,4
PCA,10,PC2,1h,SI5,-0.4227895670685397,4
PCA,10,PC2,1h,SI6,-0.4482353382953596,4
PCA,10,PC2,1h,SI7,-0.3920453002568268,4
PCA,10,PC2,1h,SI8,-0.3187889401963728,4
PCA,10,PC2,1h,SI9,-0.16294779340384,4
PCA,10,PC2,1h,ce,0.5883942479878246,4
PCA,10,PC2,1h,co,0.6368633325666503,4
PCA,10,PC2,3h,st,0.7834782874186179,4
PCA,10,PC2,3h,SI1,0.931904025770906,4
PCA,10,PC2,3h,SI2,0.97604508969946,4
PCA,10,PC2,3h,SI3,0.9945669398609788,4
PCA,10,PC2,3h,SI4,0.7539508223067829,4
PCA,10,PC2,3h,SI5,0.7425224016942766,4
PCA,10,PC2,3h,SI6,-0.0969504428370855,4
PCA,10,PC2,3h,SI7,0.1228217353607131,4
PCA,10,PC2,3h,SI8,0.201582175716674,4
PCA,10,PC2,3h,SI9,0.165480130825586,4
PCA,10,PC2,3h,ce,-0.33724275012602,4
PCA,10,PC2,3h,co,-0.3787215565144853,4
PCA,10,PC2,6h,st,0.7707440970640805,4
PCA,10,PC2,6h,SI1,0.7783501981040047,4
PCA,10,PC2,6h,SI2,0.8728669379701515,4
PCA,10,PC2,6h,SI3,0.9865431675860202,4
PCA,10,PC2,6h,SI4,0.4670271953294521,4
PCA,10,PC2,6h,SI5,-0.0024238338156503,4
PCA,10,PC2,6h,SI6,-0.7189196697944442,4
PCA,10,PC2,6h,SI7,-0.7342509186461316,4
PCA,10,PC2,6h,SI8,-0.6049250795752761,4
PCA,10,PC2,6h,SI9,-0.6359192823180037,4
PCA,10,PC2,6h,ce,-0.4757069984958709,4
PCA,10,PC2,6h,co,-0.3892739999258756,4
PCA,10,PC2,12h,st,0.6329521928122493,4
PCA,10,PC2,12h,SI1,0.8925803769598076,4
PCA,10,PC2,12h,SI2,0.7949989780696849,4
PCA,10,PC2,12h,SI3,0.7535909467920683,4
PCA,10,PC2,12h,SI4,-0.0612158750145618,4
PCA,10,PC2,12h,SI5,-0.5640460043723025,4
PCA,10,PC2,12h,SI6,-0.7692531974491796,4
PCA,10,PC2,12h,SI7,-0.7705129809708575,4
PCA,10,PC2,12h,SI8,-0.7009817246629041,4
PCA,10,PC2,12h,SI9,-0.7279875478897979,4
PCA,10,PC2,12h,ce,-0.5149150589731302,4
PCA,10,PC2,12h,co,-0.41917979753565,4
PCA,10,PC2,24h,st,-0.0162358949223881,4
PCA,10,PC2,24h,SI1,0.0339658304815233,4
PCA,10,PC2,24h,SI2,-0.1317389098137207,4
PCA,10,PC2,24h,SI3,-0.2384930584912948,4
PCA,10,PC2,24h,SI4,-0.3989455363254383,4
PCA,10,PC2,24h,SI5,-0.4445316855354437,4
PCA,10,PC2,24h,SI6,-0.473181404274159,4
PCA,10,PC2,24h,SI7,-0.4922198057196654,4
PCA,10,PC2,24h,SI8,-0.4883202781279961,4
PCA,10,PC2,24h,SI9,-0.4521746350973626,4
PCA,10,PC2,24h,ce,-0.4603970427152728,4
PCA,10,PC2,24h,co,-0.4786935502061272,4
CP,10,CP2,1h,st,0.2803687842384806,4
CP,10,CP2,1h,SI1,-0.0372537156988409,4
CP,10,CP2,1h,SI2,-0.2174863355315048,4
CP,10,CP2,1h,SI3,-0.3856586549860338,4
CP,10,CP2,1h,SI4,-0.4713907476329451,4
CP,10,CP2,1h,SI5,-0.4984604780739014,4
CP,10,CP2,1h,SI6,-0.395154731267016,4
CP,10,CP2,1h,SI7,-0.3969057456933902,4
CP,10,CP2,1h,SI8,-0.3757889630868522,4
CP,10,CP2,1h,SI9,-0.3155294864565888,4
CP,10,CP2,1h,ce,-0.1085372567508707,4
CP,10,CP2,1h,co,-0.0136112764870023,4
CP,10,CP2,3h,st,-0.3354150825068615,4
CP,10,CP2,3h,SI1,0.0445679363298352,4
CP,10,CP2,3h,SI2,0.2601865873711717,4
CP,10,CP2,3h,SI3,0.4613770749585169,4
CP,10,CP2,3h,SI4,0.5639414064576684,4
CP,10,CP2,3h,SI5,0.5963258814053817,4
CP,10,CP2,3h,SI6,0.4727375665265363,4
CP,10,CP2,3h,SI7,0.4748323669512278,4
CP,10,CP2,3h,SI8,0.4495696138259486,4
CP,10,CP2,3h,SI9,0.3774790728598477,4
CP,10,CP2,3h,ce,0.1298469550632845,4
CP,10,CP2,3h,co,0.0162836509717439,4
CP,10,CP2,6h,st,-0.027239992937323,4
CP,10,CP2,6h,SI1,0.0036194862251936,4
CP,10,CP2,6h,SI2,0.0211304773458775,4
CP,10,CP2,6h,SI3,0.0374697171319231,4
CP,10,CP2,6h,SI4,0.0457992521211584,4
CP,10,CP2,6h,SI5,0.0484292855181705,4
CP,10,CP2,6h,SI6,0.0383923342896385,4
CP,10,CP2,6h,SI7,0.0385624588658717,4
CP,10,CP2,6h,SI8,0.0365108003311191,4
CP,10,CP2,6h,SI9,0.0306561267365761,4
CP,10,CP2,6h,ce,0.010545232827401,4
CP,10,CP2,6h,co,0.001322440643244,4
CP,10,CP2,12h,st,0.0358537475638335,4
CP,10,CP2,12h,SI1,-0.0047640300688572,4
CP,10,CP2,12h,SI2,-0.0278122979842758,4
CP,10,CP2,12h,SI3,-0.0493182866246456,4
CP,10,CP2,12h,SI4,-0.0602817639469532,4
CP,10,CP2,12h,SI5,-0.0637434591727153,4
CP,10,CP2,12h,SI6,-0.0505326512078855,4
CP,10,CP2,12h,SI7,-0.0507565721033389,4
CP,10,CP2,12h,SI8,-0.0480561438263765,4
CP,10,CP2,12h,SI9,-0.0403501216695287,4
CP,10,CP2,12h,ce,-0.0138798169538968,4
CP,10,CP2,12h,co,-0.0017406191367275,4
CP,10,CP2,24h,st,0.0488990178791133,4
CP,10,CP2,24h,SI1,-0.0064974070311319,4
CP,10,CP2,24h,SI2,-0.0379317128278158,4
CP,10,CP2,24h,SI3,-0.0672625860136985,4
CP,10,CP2,24h,SI4,-0.0822150891696462,4
CP,10,CP2,24h,SI5,-0.086936311028957,4
CP,10,CP2,24h,SI6,-0.0689187932305839,4
CP,10,CP2,24h,SI7,-0.0692241870210318,4
CP,10,CP2,24h,SI8,-0.0655412166324734,4
CP,10,CP2,24h,SI9,-0.0550313831888798,4
CP,10,CP2,24h,ce,-0.0189299435485525,4
CP,10,CP2,24h,co,-0.0023739377909109,4
VAE,10,VAE2,1h,st,0.009868249297142,4
VAE,10,VAE2,1h,SI1,0.0188605189323425,4
VAE,10,VAE2,1h,SI2,0.007754698395729,4
VAE,10,VAE2,1h,SI3,-9.41753387451172e-06,4
VAE,10,VAE2,1h,SI4,-0.0038520395755767,4
VAE,10,VAE2,1h,SI5,0.0105617940425872,4
VAE,10,VAE2,1h,SI6,0.009713590145111,4
VAE,10,VAE2,1h,SI7,0.0061953961849212,4
VAE,10,VAE2,1h,SI8,0.0136939287185668,4
VAE,10,VAE2,1h,SI9,0.0170827507972717,4
VAE,10,VAE2,1h,ce,0.0072250962257385,4
VAE,10,VAE2,1h,co,0.0070619136095047,4
VAE,10,VAE2,3h,st,-0.0344791859388351,4
VAE,10,VAE2,3h,SI1,0.0140526890754699,4
VAE,10,VAE2,3h,SI2,-0.0140638351440429,4
VAE,10,VAE2,3h,SI3,0.0220263004302978,4
VAE,10,VAE2,3h,SI4,0.0162920951843261,4
VAE,10,VAE2,3h,SI5,-0.0106628537178039,4
VAE,10,VAE2,3h,SI6,0.0003949999809265,4
VAE,10,VAE2,3h,SI7,0.0025016963481903,4
VAE,10,VAE2,3h,SI8,0.0027565956115722,4
VAE,10,VAE2,3h,SI9,-0.0048138424754142,4
VAE,10,VAE2,3h,ce,0.0072678625583648,4
VAE,10,VAE2,3h,co,0.0012709200382232,4
VAE,10,VAE2,6h,st,-0.0505772531032562,4
VAE,10,VAE2,6h,SI1,-0.0005401372909545,4
VAE,10,VAE2,6h,SI2,-0.0093714594841003,4
VAE,10,VAE2,6h,SI3,-0.001253068447113,4
VAE,10,VAE2,6h,SI4,0.0123841166496276,4
VAE,10,VAE2,6h,SI5,-0.0023659765720367,4
VAE,10,VAE2,6h,SI6,0.0043188631534576,4
VAE,10,VAE2,6h,SI7,0.0055631697177886,4
VAE,10,VAE2,6h,SI8,-6.908178329467773e-05,4
VAE,10,VAE2,6h,SI9,0.0082583427429199,4
VAE,10,VAE2,6h,ce,0.0036432892084121,4
VAE,10,VAE2,6h,co,0.0110127925872802,4
VAE,10,VAE2,12h,st,0.0017502009868621,4
VAE,10,VAE2,12h,SI1,0.0157447457313537,4
VAE,10,VAE2,12h,SI2,0.0136739611625671,4
VAE,10,VAE2,12h,SI3,-0.0001507401466369,4
VAE,10,VAE2,12h,SI4,-0.0069154575467109,4
VAE,10,VAE2,12h,SI5,-0.0047037750482559,4
VAE,10,VAE2,12h,SI6,0.0044472813606262,4
VAE,10,VAE2,12h,SI7,0.0014520287513732,4
VAE,10,VAE2,12h,SI8,0.0024691820144653,4
VAE,10,VAE2,12h,SI9,-0.0041788220405578,4
VAE,10,VAE2,12h,ce,-0.0014115273952484,4
VAE,10,VAE2,12h,co,0.0027341246604919,4
VAE,10,VAE2,24h,st,-0.0061164051294326,4
VAE,10,VAE2,24h,SI1,-0.002041608095169,4
VAE,10,VAE2,24h,SI2,-0.0011449009180068,4
VAE,10,VAE2,24h,SI3,-0.002993568778038,4
VAE,10,VAE2,24h,SI4,0.0044309198856353,4
VAE,10,VAE2,24h,SI5,-0.0015471279621124,4
VAE,10,VAE2,24h,SI6,-0.0103794932365417,4
VAE,10,VAE2,24h,SI7,-0.010568767786026,4
VAE,10,VAE2,24h,SI8,-0.0004045367240905,4
VAE,10,VAE2,24h,SI9,-0.0077293813228607,4
VAE,10,VAE2,24h,ce,-0.002099871635437,4
VAE,10,VAE2,24h,co,-0.0078292191028594,4
weighted_CPVAE,10,CPVAE2,1h,st,0.0255354307591915,4
weighted_CPVAE,10,CPVAE2,1h,SI1,0.0223474502563476,4
weighted_CPVAE,10,CPVAE2,1h,SI2,-0.0025085003580898,4
weighted_CPVAE,10,CPVAE2,1h,SI3,-0.0973152667284011,4
weighted_CPVAE,10,CPVAE2,1h,SI4,-0.0073685864917933,4
weighted_CPVAE,10,CPVAE2,1h,SI5,-0.0090175382792949,4
weighted_CPVAE,10,CPVAE2,1h,SI6,-0.0375016182661056,4
weighted_CPVAE,10,CPVAE2,1h,SI7,-0.0423862673342227,4
weighted_CPVAE,10,CPVAE2,1h,SI8,-0.0581794902682304,4
weighted_CPVAE,10,CPVAE2,1h,SI9,-0.0773010700941085,4
weighted_CPVAE,10,CPVAE2,1h,ce,-0.128511443734169,4
weighted_CPVAE,10,CPVAE2,1h,co,-0.1116163283586502,4
weighted_CPVAE,10,CPVAE2,3h,st,0.0150129739195108,4
weighted_CPVAE,10,CPVAE2,3h,SI1,0.0131386732682585,4
weighted_CPVAE,10,CPVAE2,3h,SI2,-0.001474815653637,4
weighted_CPVAE,10,CPVAE2,3h,SI3,-0.057214293628931,4
weighted_CPVAE,10,CPVAE2,3h,SI4,-0.0043321922421455,4
weighted_CPVAE,10,CPVAE2,3h,SI5,-0.0053016557358205,4
weighted_CPVAE,10,CPVAE2,3h,SI6,-0.0220482219010591,4
weighted_CPVAE,10,CPVAE2,3h,SI7,-0.0249200388789176,4
weighted_CPVAE,10,CPVAE2,3h,SI8,-0.0342053063213825,4
weighted_CPVAE,10,CPVAE2,3h,SI9,-0.045447401702404,4
