PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
-0.48058364856304125,1.3979403002474526,-0.4404106635020758,-1.8235014822389037,0.1660683290413845,-0.06073688693869772,-2.821008139337498,-2.0217401059976607,-1.2424885513570114,-0.271979200735188,N900_RS00345,thiG,1.2719991,-0.76005,4.8816,6h_SI5,6h,SI5,6h_SI2,6h,SI2,5.641649999999999
2.714935002079905,-2.345176620058348,-0.9564539444067908,0.4140956590793823,0.31482129222308847,-0.20627014777867725,-0.18579062280739855,0.516909371602155,-0.016623422446151226,0.20101589920398077,N900_RS00350,thiH,1.591140666666667,-0.12643,4.3913,1h_SI9,1h,SI9,6h_SI2,6h,SI2,4.51773
0.6443335542302648,-2.2914340656379775,3.5462438801929443,-1.4207760781141057,-1.0298235278179135,-0.07609814156391881,-1.9691058633974208,-0.3236532845949253,0.5285616286954639,0.8125663127379743,N900_RS00355,aminopeptidase P,1.48602565,-0.048651,4.2556,3h_ce,3h,ce,3h_st,3h,st,4.304251000000001
-0.9090746135000596,-1.3029392152049095,1.2142644361360209,0.4029185798144903,-0.5145228858878365,0.26111311564443573,1.7735030767757824,0.02146529568026137,0.7518179377943519,0.8145614330849207,N900_RS00360,LysR family transcriptional regulator_1,1.0657311433333334,-1.2061,4.6525,6h_SI1,6h,SI1,1h_st,1h,st,5.8586
-0.45348478913463985,-1.621838740292319,-1.0020115955248983,-0.7748155718002505,1.86752188243229,2.3562983378290077,-0.6787892791325618,-1.9473337641436241,-0.13704712239554684,0.9603702623152242,N900_RS00365,mdtL_1,1.440287,0.2639,6.1683,1h_SI7,1h,SI7,6h_ce,6h,ce,5.904400000000001
-3.156575059933434,-3.2017507894369723,2.9218245336439543,-2.8371916904400125,1.9901148174425876,2.8581320821998397,2.6541939361951874,1.301483553326202,1.416875848333585,0.8066863197160763,N900_RS00370,N900_RS00370,0.9191276733333333,-1.2497,5.2072,12h_SI3,12h,SI3,6h_ce,6h,ce,6.4569
-3.6624096187218527,-0.308902975848103,-0.6744636008395886,0.5105046940652564,-3.297074426605258,0.18190705432053011,1.2388226907091338,0.07531902940707919,2.9492924807806378,0.7409554318083107,N900_RS00375,asnC,0.4175280066666666,-0.98202,5.0777,12h_SI4,12h,SI4,3h_SI3,3h,SI3,6.05972
1.3171352285055224,-0.18055954966891408,1.8789120974867815,2.0587934069932916,-0.4334697813556979,-0.3711047318640468,0.41409131813817557,-1.0767541430954886,-0.6502684910999802,-1.277401415456772,N900_RS00380,N900_RS00380,1.3673203333333335,0.04101,4.5015,6h_st,6h,st,3h_SI2,3h,SI2,4.46049
2.4256195789755672,-0.08807444496662176,1.39169038824517,0.8494749883303658,0.15977914940020782,-0.2391788576375029,-1.2298690804279269,0.8832415023801103,-0.7841392164426281,0.7275874192099197,N900_RS00385,rsmJ,0.9234460949999999,-0.61044,3.6809,12h_st,12h,st,3h_SI4,3h,SI4,4.29134
-2.1819408735523806,-0.5469685623096657,-0.08401260362043667,3.167258949808506,-1.020372574084669,0.7413699307190669,0.5738463439533257,-0.7406358951158885,-1.3011957024277714,0.9562999955844884,N900_RS00390,N900_RS00390,-0.039616166666666675,-1.9855,3.2288,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.2143
0.3507430902994848,1.766210354901673,-2.047077325891655,-0.9376547969340111,-0.6170097273920048,0.15108948523334398,2.1878584912684924,-0.26785375867334654,-0.11526300693830038,2.1820267852332282,N900_RS00395,eamA_2,1.3076575333333333,-0.36745,4.8676,6h_SI4,6h,SI4,6h_st,6h,st,5.23505
-2.539458872751171,-2.882167185664328,-0.42088381436645095,-2.5327343037081165,-1.4218938413007771,2.2711931132600833,2.110770402651858,-0.15539660588101645,-0.9658896348559104,1.2944637215183634,N900_RS00400,uspA_1,0.6777416833333333,-1.0016,6.4547,1h_SI4,1h,SI4,6h_ce,6h,ce,7.4563
-1.9274901905045767,0.46072105305913,-2.7267216070551417,-1.1251965987302,-0.7089835864683238,-0.6090973451461648,-0.2942138712736375,1.6221613457470345,-0.4088126745354449,3.0623299251268428,N900_RS00410,ftnA,0.5691082033333335,-0.83519,3.5502,24h_ce,24h,ce,6h_st,6h,st,4.38539
2.1120002156400144,2.0543101743816123,0.15584284795934072,-2.60823844295804,0.7840512353508922,1.2024611539861318,-0.8567516240129389,-0.7109358288043148,-1.5381891865404156,0.7806680025895467,N900_RS00415,uspB,1.58307705,-0.5983,5.368,1h_SI6,1h,SI6,3h_st,3h,st,5.9663
-2.1275832149264167,0.06995237052883957,0.6394898997703679,1.24456049149331,-0.10940839687520795,-0.01533663059655399,2.719558176555455,0.05462080332766853,0.13263667635216003,2.4747033308667445,N900_RS00420,rdsA_BLAST,0.3981370333333334,-1.4084,3.71,6h_SI1,6h,SI1,1h_SI1,1h,SI1,5.1184
0.24921098133888941,-0.6866794414967059,-2.6275358724174898,-0.6805823030888174,-0.009896409618289276,-2.2741999265506565,-0.128798030027238,-1.677463453384711,1.4587992297945371,1.8203819008414406,N900_RS00425,eamA_1,1.3472523999999997,-0.015277,4.29,3h_st,3h,st,6h_SI3,6h,SI3,4.305277
