Gene,Component,Gene_loading,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,abs_loading,abs_rank
N900_RS04380,TensorComp5,-2.7914764874586777,pykA_1,0.8676892666666667,-0.73358,3.9536,12h_st,12h,st,6h_SI4,6h,SI4,4.68718,2.7914764874586777,14.0
N900_RS11160,TensorComp5,-2.7874937229549586,brxL,0.7628808399999998,-1.1955,3.9882,3h_co,3h,co,3h_SI1,3h,SI1,5.1837,2.7874937229549586,15.0
N900_RS18065,TensorComp5,-2.7791781107145925,exbD1,0.2369785333333333,-1.234,3.4798,3h_st,3h,st,6h_SI4,6h,SI4,4.7138,2.7791781107145925,16.0
N900_RS07250,TensorComp5,-2.769020546570209,vceB,0.7054589583333332,-0.8033,3.7177,12h_st,12h,st,12h_SI1,12h,SI1,4.521,2.769020546570209,17.0
N900_RS05955,TensorComp5,-2.7682601585062776,metC,0.6725494999999999,-0.6194,2.7035,6h_st,6h,st,3h_SI3,3h,SI3,3.3228999999999997,2.7682601585062776,18.0
N900_RS15120,TensorComp5,-2.7664201062552394,phosphoribosyl-AMP cyclohydrolase,0.4060095799999999,-1.2686,3.7771,12h_st,12h,st,6h_SI1,6h,SI1,5.0457,2.7664201062552394,19.0
N900_RS17210,TensorComp5,-2.759942532672695,N900_RS17210,1.2762096333333335,-0.15081,4.5136,1h_ce,1h,ce,6h_SI2,6h,SI2,4.66441,2.759942532672695,20.0
N900_RS03965,TensorComp5,-2.7595965775211795,gltA,0.6352990666666667,-1.3576,4.6516,24h_SI6,24h,SI6,6h_ce,6h,ce,6.0092,2.7595965775211795,21.0
N900_RS10685,TensorComp5,-2.759378708544239,aroF,1.2231554433333331,-0.30978,4.4271,12h_st,12h,st,3h_SI1,3h,SI1,4.73688,2.759378708544239,22.0
N900_RS16795,TensorComp5,-2.7575115174558116,N900_RS16795,0.819769475,-0.41445,3.6613,6h_st,6h,st,6h_SI3,6h,SI3,4.07575,2.7575115174558116,23.0
N900_RS10495,TensorComp5,-2.7530284261555864,malate synthase A,0.8153005333333333,-0.72766,4.1538,12h_st,12h,st,3h_SI1,3h,SI1,4.881460000000001,2.7530284261555864,24.0
N900_RS07515,TensorComp5,-2.7526816423230107,diguanylate cyclase_1,0.9015788783333333,-0.54242,3.3394,6h_st,6h,st,12h_SI2,12h,SI2,3.88182,2.7526816423230107,25.0
N900_RS05000,TensorComp5,-2.748611467508812,ycgB_BLAST,0.6673474613333334,-1.0142,4.31,12h_st,12h,st,6h_SI3,6h,SI3,5.324199999999999,2.748611467508812,26.0
N900_RS07195,TensorComp5,-2.7441804148265887,N900_RS07195,0.7000432833333333,-0.80146,3.5485,3h_st,3h,st,6h_SI4,6h,SI4,4.34996,2.7441804148265887,27.0
N900_RS03055,TensorComp5,-2.738835810204359,diguanylate cyclase_4,0.7464228249999999,-0.75771,3.7322,3h_st,3h,st,6h_SI4,6h,SI4,4.48991,2.738835810204359,28.0
N900_RS06575,TensorComp5,-2.7352062656080394,tolQ_3,1.0613484833333333,-0.39571,4.9052,1h_st,1h,st,12h_SI1,12h,SI1,5.30091,2.7352062656080394,29.0
N900_RS19185,TensorComp5,-2.7338055204951877,N900_RS19185,0.9914399666666667,-0.78349,3.2763,6h_st,6h,st,12h_SI3,12h,SI3,4.05979,2.7338055204951877,30.0
N900_RS13265,TensorComp5,-2.7326357364260665,peptidase_3,0.9794817666666666,-0.43693,4.2,3h_SI1,3h,SI1,6h_SI4,6h,SI4,4.63693,2.7326357364260665,31.0
N900_RS04155,TensorComp5,-2.725412414596138,ccmf,0.6224349833333331,-1.9232,4.2958,1h_SI2,1h,SI2,3h_SI1,3h,SI1,6.218999999999999,2.725412414596138,32.0
N900_RS15255,TensorComp5,-2.7215465927606437,emrD3,0.759544055,-0.64658,3.2808,12h_st,12h,st,3h_SI1,3h,SI1,3.9273800000000003,2.7215465927606437,33.0
N900_RS08765,TensorComp5,-2.7168985236507246,oppC,0.5122310366666667,-1.4689,4.2893,3h_SI9,3h,SI9,6h_ce,6h,ce,5.7582,2.7168985236507246,34.0
N900_RS05080,TensorComp5,-2.7112873847761563,rsmS,0.10816503333333331,-1.2773,3.4677,3h_SI5,3h,SI5,3h_SI1,3h,SI1,4.745,2.7112873847761563,35.0
N900_RS08200,TensorComp5,-2.7061433348125448,nucleotidyltransferase,0.9407429166666668,-0.26924,4.3861,3h_SI3,3h,SI3,6h_SI1,6h,SI1,4.65534,2.7061433348125448,36.0
N900_RS01715,TensorComp5,-2.7051395695150804,cobA,0.93742956,-1.1059,4.125,3h_ce,3h,ce,6h_SI3,6h,SI3,5.2309,2.7051395695150804,37.0
N900_RS14855,TensorComp5,-2.7040964283958195,psuT,0.4617115500000001,-0.9648,3.3837,1h_ce,1h,ce,6h_SI4,6h,SI4,4.3485000000000005,2.7040964283958195,38.0
N900_RS05935,TensorComp5,-2.703993350852184,ttgG,1.1422450666666668,-0.74901,4.8566,12h_st,12h,st,1h_SI1,1h,SI1,5.60561,2.703993350852184,39.0
N900_RS18915,TensorComp5,-2.692842102345428,ABC transporter substrate-binding protein_10,1.2910365666666668,-0.11376,4.3028,1h_st,1h,st,3h_SI1,3h,SI1,4.4165600000000005,2.692842102345428,40.0
N900_RS14475,TensorComp5,-2.6912416235259617,ydgJ,0.7585031666666667,-0.89777,3.7676,6h_st,6h,st,3h_SI3,3h,SI3,4.665369999999999,2.6912416235259617,41.0
N900_RS11075,TensorComp5,-2.6885690994642744,dsbC_2,0.9409200166666666,-0.9583,3.3689,3h_SI9,3h,SI9,3h_SI4,3h,SI4,4.3272,2.6885690994642744,42.0
N900_RS07335,TensorComp5,-2.688027208960068,gdx,0.8789779936666666,-0.58326,4.2955,6h_SI1,6h,SI1,3h_SI5,3h,SI5,4.87876,2.688027208960068,43.0
N900_RS01340,TensorComp5,-2.686337548116418,glutathione peroxidase,1.0858882633333335,-0.40625,4.3226,6h_st,6h,st,3h_SI5,3h,SI5,4.72885,2.686337548116418,44.0
N900_RS08045,TensorComp5,-2.68576911689311,astE,0.8444706985,-0.73355,3.8073,3h_co,3h,co,6h_SI4,6h,SI4,4.54085,2.68576911689311,45.0
N900_RS10265,TensorComp5,-2.683386356178262,yjcS,0.855433515,-0.62998,3.6278,3h_ce,3h,ce,3h_SI2,3h,SI2,4.25778,2.683386356178262,46.0
N900_RS05610,TensorComp5,-2.6794611218390783,breR,0.5076679616666666,-0.88861,3.6377,12h_st,12h,st,3h_SI2,3h,SI2,4.5263100000000005,2.6794611218390783,47.0
N900_RS00745,TensorComp5,-2.677811695834403,sthA,1.1094407333333336,-0.28939,3.4948,3h_co,3h,co,3h_SI5,3h,SI5,3.78419,2.677811695834403,48.0
N900_RS00945,TensorComp5,-2.6749108819034912,epsN,0.8750885166666665,-0.65876,4.3504,1h_st,1h,st,6h_SI4,6h,SI4,5.00916,2.6749108819034912,49.0
N900_RS13360,TensorComp5,-2.673749106946486,rjg,1.1376497833333332,-0.50269,4.0166,12h_st,12h,st,6h_SI4,6h,SI4,4.519290000000001,2.673749106946486,50.0
