Gene,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
N900_RS04720,bifunctional diguanylate cyclase/phosphodiesterase_2,0.4496517566666667,-1.0782,3.402,12h_co,12h,co,6h_st,6h,st,4.4802
N900_RS04725,N900_RS04725,-0.020558449999999992,-2.1178,3.3344,6h_SI5,6h,SI5,6h_SI3,6h,SI3,5.4521999999999995
N900_RS04730,N900_RS04730,0.34117665666666663,-1.0851,2.9704,3h_SI2,3h,SI2,3h_SI1,3h,SI1,4.0555
N900_RS04735,ydiU_BLAST,0.14206296666666668,-1.4016,3.5264,12h_SI4,12h,SI4,6h_SI3,6h,SI3,4.928
N900_RS04740,dctp,1.3562256583333332,-0.48524,4.2144,3h_SI5,3h,SI5,6h_ce,6h,ce,4.6996400000000005
N900_RS04745,TRAP transporter small permease,0.47295777833333336,-0.9926,3.0021,12h_SI1,12h,SI1,3h_SI1,3h,SI1,3.9947
N900_RS04750,dctM_1,1.1430141666666667,-0.69967,5.1172,6h_st,6h,st,3h_st,3h,st,5.816870000000001
N900_RS04755,dctD,0.44922901666666665,-1.6974,3.8993,6h_ce,6h,ce,1h_ce,1h,ce,5.5967
N900_RS04760,dctB,0.59748443,-0.74389,4.242,12h_SI1,12h,SI1,3h_SI1,3h,SI1,4.98589
N900_RS04765,N900_RS04765,0.9600014783333334,-0.71843,5.0535,6h_SI4,6h,SI4,6h_SI1,6h,SI1,5.771929999999999
N900_RS04770,tig,-0.035672316666666634,-1.9277,4.084,6h_SI5,6h,SI5,3h_SI3,3h,SI3,6.011699999999999
N900_RS04775,clpP,0.9659701166666667,-1.2151,6.2538,12h_SI9,12h,SI9,3h_SI1,3h,SI1,7.4689
N900_RS04780,clpx,2.0810109999999997,0.12159,4.2838,6h_SI9,6h,SI9,12h_st,12h,st,4.16221
N900_RS04785,lon_1,1.1185565199999996,-0.33776,5.1015,6h_SI9,6h,SI9,1h_ce,1h,ce,5.43926
N900_RS04795,ppiD,-0.4451896,-1.8149,3.2382,12h_SI2,12h,SI2,3h_SI2,3h,SI2,5.0531
N900_RS04800,ComEA family DNA-binding protein,1.4630636166666666,-0.010489,4.0108,3h_SI4,3h,SI4,6h_SI2,6h,SI2,4.0212889999999994
N900_RS04815,ihfB,-1.1307439,-3.3025,0.79774,12h_SI7,12h,SI7,12h_st,12h,st,4.10024
N900_RS04820,lapa,0.21944670666666663,-2.1475,4.3015,12h_ce,12h,ce,12h_SI1,12h,SI1,6.449
N900_RS04830,pyrF,-0.02949454999999996,-3.7276,4.5978,6h_SI7,6h,SI7,6h_ce,6h,ce,8.3254
N900_RS04835,MiaE,1.1661746166666664,-0.42889,4.5921,3h_ce,3h,ce,3h_st,3h,st,5.02099
N900_RS04840,motV,2.7984921883333334,-1.4682,6.4085,1h_SI6,1h,SI6,12h_SI1,12h,SI1,7.8767
N900_RS04845,cysB,0.3927544633333333,-1.711,2.4006,6h_SI9,6h,SI9,12h_st,12h,st,4.1116
N900_RS04850,methyltransferase,-0.7035764666666665,-1.9415,2.0266,6h_SI1,6h,SI1,1h_st,1h,st,3.9681
N900_RS04855,ald,1.0358829416666666,-0.56041,5.2295,3h_SI7,3h,SI7,3h_SI1,3h,SI1,5.78991
N900_RS04860,lrp_1,1.8453204500000002,-0.056183,4.0561,6h_SI9,6h,SI9,12h_st,12h,st,4.112283
N900_RS04870,dsbB,-0.33072121666666665,-2.7609,4.1369,6h_SI9,6h,SI9,1h_SI1,1h,SI1,6.8978
N900_RS04875,nhaB,1.04811315,-0.54017,4.356,6h_SI1,6h,SI1,6h_SI4,6h,SI4,4.89617
N900_RS04880,fadR,1.1680233833333333,-1.5989,4.8608,6h_SI7,6h,SI7,3h_SI2,3h,SI2,6.4597
N900_RS04885,N900_RS04885,1.4193907666666665,-0.34057,4.4853,6h_ce,6h,ce,3h_SI1,3h,SI1,4.825869999999999
N900_RS04890,methyl-accepting chemotaxis protein_3,0.0999043,-2.7012,5.5509,6h_SI5,6h,SI5,6h_SI1,6h,SI1,8.2521
N900_RS04895,hinT,0.5871952666666667,-1.2797,4.2602,6h_SI8,6h,SI8,6h_SI5,6h,SI5,5.5399
N900_RS04900,N900_RS04900,0.8011507333333334,-0.44888,3.1939,3h_SI1,3h,SI1,12h_SI2,12h,SI2,3.64278
N900_RS04905,N900_RS04905,1.0987852999999999,-0.40268,4.1136,6h_SI6,6h,SI6,6h_SI2,6h,SI2,4.51628
N900_RS04910,lpoB,0.5405676666666667,-1.5165,3.918,3h_SI8,3h,SI8,6h_ce,6h,ce,5.4345
N900_RS04915,thiK,0.006151574999999981,-1.0764,4.0298,3h_SI9,3h,SI9,1h_SI1,1h,SI1,5.106199999999999
N900_RS04920,ycfP,1.2990930166666665,-0.01142,4.645,1h_SI7,1h,SI7,3h_SI4,3h,SI4,4.65642
N900_RS04925,ndh,0.7569319833333332,-0.98594,4.2302,1h_SI7,1h,SI7,3h_SI3,3h,SI3,5.21614
N900_RS04930,rimL,0.57774305,-0.77205,4.8024,6h_st,6h,st,6h_SI3,6h,SI3,5.57445
N900_RS04935,hemolysin_2,0.9041604833333333,-0.7179,3.457,1h_ce,1h,ce,12h_SI1,12h,SI1,4.1749
N900_RS04940,N900_RS04940,-0.9503314654999999,-2.9729,1.0611,12h_ce,12h,ce,3h_SI2,3h,SI2,4.034
N900_RS04945,mfd,-0.8932257000000001,-3.2265,3.1501,6h_SI5,6h,SI5,3h_SI3,3h,SI3,6.3766
N900_RS04950,pilz_2,-0.8508710999999999,-3.5076,2.7429,3h_SI7,3h,SI7,1h_co,1h,co,6.250500000000001
N900_RS04970,N900_RS04970,0.003914749999999987,-2.3189,4.9494,12h_SI6,12h,SI6,6h_st,6h,st,7.2683
N900_RS04975,DNA internalization-related competence protein ComEC/Rec2,0.34371430166666667,-1.3296,3.3754,6h_SI1,6h,SI1,6h_SI2,6h,SI2,4.705
N900_RS04990,VC0395_A1467_BLAST,-1.5325226666666665,-4.6134,0.10543,6h_SI9,6h,SI9,3h_SI7,3h,SI7,4.7188300000000005
N900_RS05000,ycgB_BLAST,0.6673474613333334,-1.0142,4.31,12h_st,12h,st,6h_SI3,6h,SI3,5.324199999999999
N900_RS05005,yeah,0.8586386833333333,-0.67557,4.093,1h_SI6,1h,SI6,6h_SI3,6h,SI3,4.76857
N900_RS05010,yeaG_BLAST,0.8201259883333333,-0.98471,4.9614,3h_SI1,3h,SI1,1h_st,1h,st,5.94611
N900_RS05015,yfbu,1.0036552116666666,-0.40912,4.0658,12h_SI2,12h,SI2,3h_SI2,3h,SI2,4.47492
N900_RS05020,membrane protein_3,1.2045267166666667,-0.26847,5.6165,1h_SI8,1h,SI8,3h_SI1,3h,SI1,5.88497
N900_RS05025,pflA,0.40198466000000005,-0.93053,4.3825,24h_SI1,24h,SI1,12h_SI2,12h,SI2,5.31303
N900_RS05030,methyl-accepting chemotaxis protein_7,1.1064064333333332,-1.197,4.5076,1h_co,1h,co,3h_SI5,3h,SI5,5.7046
N900_RS05035,lpxR,0.9605232000000001,-0.40591,3.731,1h_SI8,1h,SI8,6h_SI4,6h,SI4,4.13691
N900_RS05040,pflB,0.5588561116666665,-1.6752,4.7134,6h_SI6,6h,SI6,3h_st,3h,st,6.3886
N900_RS05045,N900_RS05045,0.5992606766666666,-1.2144,4.2496,12h_co,12h,co,6h_SI1,6h,SI1,5.464
N900_RS05050,occP,1.3571637000000003,-0.21443,4.2764,1h_SI7,1h,SI7,3h_SI5,3h,SI5,4.49083
N900_RS05055,argT,1.1644249333333332,-0.35046,3.5794,12h_co,12h,co,1h_SI1,1h,SI1,3.92986
N900_RS05060,hisQ,0.6654580666666667,-0.58338,3.5209,12h_SI9,12h,SI9,6h_st,6h,st,4.10428
N900_RS05065,hisM,0.8958732666666667,-0.47761,3.7407,3h_SI4,3h,SI4,3h_SI1,3h,SI1,4.21831
N900_RS05070,xthA,1.779389166666667,0.12341,4.8797,1h_SI1,1h,SI1,6h_SI3,6h,SI3,4.75629
N900_RS05075,pctC_1,1.1042378666666666,-0.23737,3.5909,1h_SI4,1h,SI4,12h_SI2,12h,SI2,3.82827
N900_RS05080,rsmS,0.10816503333333331,-1.2773,3.4677,3h_SI5,3h,SI5,3h_SI1,3h,SI1,4.745
N900_RS05085,prepilin peptidase_2,0.26324856166666666,-0.83559,3.9948,3h_SI3,3h,SI3,12h_SI2,12h,SI2,4.83039
N900_RS05090,yfcA_2,-0.10433206666666668,-1.2816,3.9033,6h_SI4,6h,SI4,3h_SI1,3h,SI1,5.184900000000001
N900_RS05095,dinG,0.7030367666666667,-0.75055,3.2753,24h_ce,24h,ce,3h_SI4,3h,SI4,4.02585
N900_RS05100,ompT,0.98246435,-0.50573,3.8587,12h_st,12h,st,3h_SI3,3h,SI3,4.36443
N900_RS05105,VC_1853_BLAST,0.6540752166666665,-1.2414,3.8658,6h_SI1,6h,SI1,6h_SI4,6h,SI4,5.107200000000001
N900_RS05110,VC0395_A1443_BLAST,0.6346777500000002,-1.0232,5.0956,24h_SI1,24h,SI1,6h_ce,6h,ce,6.1188
N900_RS05115,cdgJ_2,0.537821,-1.547,3.6109,6h_SI8,6h,SI8,6h_SI2,6h,SI2,5.1579
N900_RS05135,ruvC,-0.106628365,-2.3451,3.1281,12h_SI4,12h,SI4,3h_SI3,3h,SI3,5.4732
N900_RS05140,ruvA,-0.05279776666666668,-2.1637,3.4884,12h_co,12h,co,3h_SI3,3h,SI3,5.6521
N900_RS05145,ruvB,0.6450091583333334,-1.361,4.8952,6h_SI9,6h,SI9,6h_st,6h,st,6.2562
N900_RS05150,cydA,0.7195319666666666,-1.0978,2.7945,6h_co,6h,co,12h_st,12h,st,3.8923000000000005
N900_RS05155,cydB_1,0.7098292166666665,-1.3807,2.7311,6h_SI9,6h,SI9,12h_st,12h,st,4.111800000000001
N900_RS05165,ybgE,1.1787482833333334,-0.4938,4.8888,1h_co,1h,co,6h_st,6h,st,5.3826
N900_RS05170,ybgC,0.7459370066666666,-0.80087,2.8581,3h_SI1,3h,SI1,12h_SI2,12h,SI2,3.65897
N900_RS05175,tolQ,0.798336155,-1.1942,2.9061,12h_SI7,12h,SI7,12h_st,12h,st,4.1003
N900_RS05180,tolr,-0.7088125000000001,-2.8131,1.7784,6h_SI9,6h,SI9,3h_SI9,3h,SI9,4.5915
N900_RS05185,tolA,-0.07284683333333333,-2.4399,3.8827,12h_ce,12h,ce,1h_SI1,1h,SI1,6.3225999999999996
N900_RS05190,tolB,-0.026892466666666667,-2.2054,4.3082,12h_ce,12h,ce,6h_SI2,6h,SI2,6.5136
N900_RS05195,pal_1,1.3740060666666665,-0.61176,3.4948,6h_SI9,6h,SI9,12h_st,12h,st,4.10656
N900_RS05200,ybgF,0.2541345833333333,-1.6242,4.3142,12h_SI8,12h,SI8,3h_SI5,3h,SI5,5.9384
N900_RS05205,nadA,0.5824090333333333,-2.0491,3.5819,6h_SI1,6h,SI1,3h_SI2,3h,SI2,5.631
N900_RS05210,yeca,1.33919295,0.020125,4.3372,1h_SI8,1h,SI8,3h_SI1,3h,SI1,4.317075
N900_RS05215,cqsR,0.8180943,-0.75728,3.3084,3h_SI3,3h,SI3,3h_st,3h,st,4.0656799999999995
N900_RS05220,alae,0.11534756666666666,-1.642,2.6789,12h_SI8,12h,SI8,1h_SI1,1h,SI1,4.3209
N900_RS05225,manA_2,-0.013051666666666663,-1.3305,3.6735,12h_SI4,12h,SI4,6h_SI1,6h,SI1,5.0040000000000004
N900_RS05230,PTS fructose transporter subunit IIC_1,0.28519082,-1.2882,3.9525,6h_SI4,6h,SI4,6h_SI1,6h,SI1,5.2407
N900_RS05235,rhaR_2,1.1426662336666666,-0.34484,4.3471,6h_SI1,6h,SI1,3h_SI2,3h,SI2,4.69194
N900_RS05240,PTS fructose transporter subunit IIA_2,-0.37278711666666664,-3.3449,2.3735,3h_SI8,3h,SI8,6h_SI4,6h,SI4,5.7184
N900_RS05245,manP_1,1.0140252666666665,-0.54062,4.318,6h_SI2,6h,SI2,6h_st,6h,st,4.858619999999999
N900_RS05250,PTS fructose transporter subunit IIA_1,0.5363983500000001,-0.82667,3.2566,6h_st,6h,st,6h_SI2,6h,SI2,4.083270000000001
N900_RS05255,PTS fructose transporter subunit IIC_2,1.0628955166666667,-0.44693,4.5239,12h_st,12h,st,3h_SI2,3h,SI2,4.97083
N900_RS05260,manP_2,-0.6287416833333334,-3.2796,2.6799,3h_SI7,3h,SI7,12h_SI1,12h,SI1,5.9595
N900_RS05265,ald1,1.0136811516666666,-0.49688,4.5058,6h_st,6h,st,6h_SI2,6h,SI2,5.00268
N900_RS05270,acoR,1.0387383,-0.43867,3.705,1h_SI5,1h,SI5,3h_SI3,3h,SI3,4.14367
N900_RS05275,VF_0530_BLAST,0.5501155166666667,-1.0009,3.3786,3h_SI5,3h,SI5,6h_SI2,6h,SI2,4.3795
N900_RS05280,SDR family oxidoreductase,0.6303334123333334,-1.6131,5.2283,6h_co,6h,co,3h_SI3,3h,SI3,6.8414
N900_RS05285,cry1,1.1814332500000002,-0.3861,3.8363,1h_SI8,1h,SI8,3h_SI3,3h,SI3,4.2224
N900_RS05290,N900_RS05290,0.42985096666666667,-0.8797,3.3959,6h_st,6h,st,6h_SI4,6h,SI4,4.2756
N900_RS05295,N900_RS05295,0.9973708833333332,-0.59103,4.2838,3h_SI2,3h,SI2,3h_SI5,3h,SI5,4.87483
N900_RS05300,N900_RS05300,0.5883225166666667,-2.1083,3.4432,6h_SI6,6h,SI6,6h_SI2,6h,SI2,5.5515
N900_RS05305,AlpA family transcriptional regulator_1,0.8732035333333333,-0.61926,3.8888,12h_st,12h,st,6h_st,6h,st,4.5080599999999995
N900_RS05310,N900_RS05310,0.05666616,-1.1429,3.6727,12h_SI8,12h,SI8,6h_SI4,6h,SI4,4.8156
N900_RS05315,N900_RS05315,-0.10634576666666665,-1.4705,2.7471,3h_SI1,3h,SI1,1h_ce,1h,ce,4.2176
N900_RS05320,N900_RS05320,0.6445155499999999,-1.1691,3.8596,1h_SI2,1h,SI2,3h_SI3,3h,SI3,5.0287
N900_RS05330,N900_RS05330,1.8303856333333333,-0.061552,4.0455,6h_SI9,6h,SI9,12h_st,12h,st,4.1070519999999995
N900_RS05340,IclR family transcriptional regulator,0.09195315,-2.1203,3.9457,1h_SI5,1h,SI5,3h_SI1,3h,SI1,6.066
N900_RS05345,marR,0.80952545,-0.6794,4.0923,6h_st,6h,st,3h_st,3h,st,4.7717
N900_RS05350,DDE-type integrase/transposase/recombinase,0.37342490166666664,-0.94342,3.2289,6h_st,6h,st,3h_SI4,3h,SI4,4.17232
N900_RS05355,ATPase AAA,0.009900648,0.00048811,0.15721,1h_SI7,1h,SI7,3h_st,3h,st,0.15672188999999997
N900_RS05360,N900_RS05360,0.22612868333333333,-1.301,3.4917,24h_co,24h,co,3h_SI1,3h,SI1,4.7927
N900_RS05365,N900_RS05365,1.3667623499999997,-0.75363,4.7078,12h_SI3,12h,SI3,3h_SI4,3h,SI4,5.46143
N900_RS05370,middle operon regulator,1.2383351,-0.12582,3.3951,1h_SI8,1h,SI8,6h_SI3,6h,SI3,3.52092
N900_RS05375,transcriptional regulator_2,1.25064307,-0.22889,5.009,1h_SI8,1h,SI8,12h_SI2,12h,SI2,5.23789
N900_RS05380,N900_RS05380,1.0733446166666667,-0.60278,4.6585,1h_co,1h,co,12h_SI2,12h,SI2,5.26128
N900_RS05385,N900_RS05385,1.4264952666666668,-0.20862,5.1047,1h_st,1h,st,3h_SI2,3h,SI2,5.31332
N900_RS05390,N900_RS05390,1.3942658333333333,-0.28709,4.3761,3h_st,3h,st,12h_st,12h,st,4.66319
N900_RS05395,tape measure protein,1.4957915000000004,-0.30252,5.0542,1h_SI9,1h,SI9,3h_st,3h,st,5.35672
N900_RS05415,radC_2,3.1933400000000005,1.4121,7.1581,1h_co,1h,co,6h_SI2,6h,SI2,5.746
N900_RS05420,AlpA family transcriptional regulator_2,1.6873482999999998,0.041178,4.5865,1h_SI8,1h,SI8,6h_st,6h,st,4.545322
N900_RS05425,sialidase,0.8378160416666667,-0.64229,3.5704,3h_st,3h,st,6h_ce,6h,ce,4.21269
N900_RS05430,nagA_2,0.5475090216666666,-0.9519,3.0012,12h_st,12h,st,6h_SI4,6h,SI4,3.9531
N900_RS05435,nanK,0.7366270166666666,-0.34553,3.915,6h_st,6h,st,6h_SI2,6h,SI2,4.26053
N900_RS05440,N-acetylmannosamine-6-phosphate 2-epimerase,0.6842123666666668,-1.238,2.8738,6h_SI9,6h,SI9,12h_st,12h,st,4.111800000000001
N900_RS05445,N900_RS05445,0.6905230666666667,-1.4196,5.3843,3h_SI8,3h,SI8,1h_st,1h,st,6.8039
N900_RS05450,siaP,1.4123102166666668,-0.39459,4.603,1h_SI3,1h,SI3,12h_st,12h,st,4.99759
N900_RS05455,siaQ,0.8079806500000001,-1.1326,4.7764,12h_SI2,12h,SI2,6h_SI4,6h,SI4,5.909
N900_RS05460,siaM,-0.16962076666666667,-1.8663,3.6921,6h_SI5,6h,SI5,1h_co,1h,co,5.5584
N900_RS05465,nanA,1.0245334833333333,-0.33739,3.9809,1h_SI1,1h,SI1,6h_SI1,6h,SI1,4.31829
N900_RS05470,ybbH,-0.8069805000000001,-3.5466,2.5086,6h_SI7,6h,SI7,12h_st,12h,st,6.0552
N900_RS05475,nanM_1,1.2559163433333334,-0.69143,4.2818,3h_co,3h,co,6h_SI4,6h,SI4,4.973229999999999
N900_RS05480,nanM_2,-0.22444844500000005,-2.0285,2.5945,24h_SI1,24h,SI1,3h_SI5,3h,SI5,4.623
N900_RS05485,YafY family transcriptional regulator,-0.19919461666666663,-1.5953,3.0573,12h_SI9,12h,SI9,1h_SI1,1h,SI1,4.6526
N900_RS05490,N900_RS05490,1.1188048650000002,-0.65037,3.9243,12h_SI8,12h,SI8,3h_SI2,3h,SI2,4.57467
N900_RS05495,N900_RS05495,1.2176793500000003,-0.26547,4.1682,3h_SI2,3h,SI2,6h_SI2,6h,SI2,4.433669999999999
N900_RS05500,SAM-dependent DNA methyltransferase,0.9780412333333334,-0.53156,3.6298,1h_SI8,1h,SI8,12h_st,12h,st,4.16136
N900_RS05505,restriction endonuclease subunit S,0.4764261483333333,-0.89346,3.7628,3h_SI2,3h,SI2,12h_SI1,12h,SI1,4.65626
N900_RS05510,N900_RS05510,0.43867336666666656,-0.80415,6.3422,6h_SI1,6h,SI1,6h_ce,6h,ce,7.14635
N900_RS05515,N900_RS05515,1.0418312,-0.29566,3.7044,1h_st,1h,st,6h_SI1,6h,SI1,4.00006
N900_RS05520,type I restriction endonuclease subunit R,1.3436920333333333,-0.14669,3.9066,1h_SI7,1h,SI7,6h_SI4,6h,SI4,4.0532900000000005
N900_RS05525,ZorA,1.35461179,-0.17831,4.1278,1h_SI4,1h,SI4,3h_st,3h,st,4.306109999999999
N900_RS05530,MotB,0.7457825166666667,-0.9498,4.9522,12h_SI3,12h,SI3,3h_SI2,3h,SI2,5.902
N900_RS05535,zorC,1.342458463333333,-0.015462,4.087,3h_SI1,3h,SI1,3h_SI3,3h,SI3,4.102462
N900_RS05540,helicase,0.09156693479499999,-1.6726,3.0416,6h_SI2,6h,SI2,3h_st,3h,st,4.7142
N900_RS05545,intA_1,-0.3095441166666667,-2.0942,3.2093,3h_SI6,3h,SI6,3h_SI4,3h,SI4,5.3035
N900_RS05550,intA_2,0.49721800000000005,-1.0012,3.4145,24h_st,24h,st,6h_SI1,6h,SI1,4.4157
N900_RS05560,vexD,0.21175280000000002,-1.2217,4.5557,12h_SI9,12h,SI9,6h_ce,6h,ce,5.7774
N900_RS05565,vexC,1.2179690166666668,-0.43687,4.1091,1h_SI6,1h,SI6,3h_st,3h,st,4.54597
N900_RS05570,pqic,1.12838816,-0.28906,4.7755,1h_st,1h,st,3h_SI4,3h,SI4,5.06456
N900_RS05575,pqiB,0.5611877716666667,-1.1285,4.0344,12h_SI7,12h,SI7,6h_SI4,6h,SI4,5.1629
N900_RS05580,pqiA,1.1031466833333334,-0.091994,5.1871,6h_co,6h,co,1h_st,1h,st,5.279094
N900_RS05585,mechanosensitive ion channel protein MscS,0.37348226650000005,-1.0232,4.4858,12h_SI2,12h,SI2,3h_SI2,3h,SI2,5.509
N900_RS05590,N900_RS05590,1.1086025233333332,-0.43008,4.7171,3h_SI6,3h,SI6,6h_SI2,6h,SI2,5.1471800000000005
N900_RS05595,BamA/TamA family outer membrane protein,0.93692325,-0.74077,4.723,1h_SI2,1h,SI2,1h_st,1h,st,5.46377
N900_RS05600,N900_RS05600,0.5512599499999999,-1.2309,3.7353,6h_SI1,6h,SI1,6h_st,6h,st,4.966200000000001
N900_RS05610,breR,0.5076679616666666,-0.88861,3.6377,12h_st,12h,st,3h_SI2,3h,SI2,4.5263100000000005
N900_RS05615,NAD-dependent succinate-semialdehyde dehydrogenase,0.68964878,-0.78139,3.575,3h_SI1,3h,SI1,3h_SI2,3h,SI2,4.35639
N900_RS05620,N900_RS05620,-0.9343289833333334,-2.5455,2.9569,6h_ce,6h,ce,3h_SI3,3h,SI3,5.5024
N900_RS05625,1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase,0.9335631533333334,-0.8539,5.5624,6h_SI6,6h,SI6,3h_SI2,3h,SI2,6.416300000000001
N900_RS05630,TetR/AcrR family transcriptional regulator_2,1.2765062833333336,-0.42314,4.5633,1h_SI1,1h,SI1,3h_SI3,3h,SI3,4.98644
N900_RS05635,fadE_2,1.4796755000000001,-1.6797,4.7912,1h_SI9,1h,SI9,6h_SI3,6h,SI3,6.4709
N900_RS05650,bpt,0.11467718833333335,-1.3304,4.3637,3h_SI5,3h,SI5,3h_SI4,3h,SI4,5.6941
N900_RS05655,aat,0.9172137100000001,-0.32737,4.396,1h_SI6,1h,SI6,3h_SI1,3h,SI1,4.72337
N900_RS05660,N900_RS05660,0.9774939,-1.6706,5.7905,6h_co,6h,co,12h_st,12h,st,7.4611
N900_RS05665,aroA,-0.8801770999999998,-2.721,2.9676,6h_ce,6h,ce,6h_SI1,6h,SI1,5.6886
N900_RS05670,yciN,0.5632271833333333,-0.88868,3.2856,3h_ce,3h,ce,1h_SI1,1h,SI1,4.17428
N900_RS05680,glgC_1,0.6073159,-0.71219,4.344,1h_SI7,1h,SI7,3h_SI3,3h,SI3,5.05619
N900_RS05685,glgA,0.6251260166666667,-1.2541,4.6736,1h_SI5,1h,SI5,6h_SI1,6h,SI1,5.927700000000001
N900_RS05690,menH_3,1.443667316666667,-0.35003,4.2084,1h_SI8,1h,SI8,6h_SI3,6h,SI3,4.55843
N900_RS05695,N900_RS05695,1.489815185,-0.58484,5.1739,1h_SI2,1h,SI2,3h_SI1,3h,SI1,5.7587399999999995
N900_RS05700,N900_RS05700,0.6437962166666668,-0.71937,3.6429,12h_st,12h,st,6h_SI4,6h,SI4,4.36227
N900_RS05705,tfoY,0.7767359749999999,-0.65726,3.9442,6h_SI3,6h,SI3,3h_SI5,3h,SI5,4.601459999999999
N900_RS05710,purR,0.8874876833333333,-1.3984,3.6322,1h_SI5,1h,SI5,6h_SI1,6h,SI1,5.0306
N900_RS05715,torD,0.2555719895,-0.95296,3.0819,6h_SI6,6h,SI6,1h_st,1h,st,4.03486
N900_RS05720,torR,1.04572515,-0.52223,4.7229,12h_st,12h,st,6h_SI1,6h,SI1,5.24513
N900_RS05725,elyC,-0.5202854,-2.9234,4.3301,6h_co,6h,co,3h_SI1,3h,SI1,7.2535
N900_RS05730,cmoM,0.7845786999999999,-0.459,4.6263,3h_st,3h,st,12h_SI1,12h,SI1,5.085299999999999
N900_RS05735,mukF,-2.0276826666666663,-4.538,2.5254,6h_SI7,6h,SI7,12h_st,12h,st,7.0634
N900_RS05740,mukE,-2.2753801666666664,-4.6947,0.5594,6h_SI6,6h,SI6,24h_SI3,24h,SI3,5.2541
N900_RS05745,mukB,-2.1942355,-4.7923,2.163,6h_SI6,6h,SI6,3h_st,3h,st,6.955299999999999
N900_RS05750,lrp_2,1.2007473333333332,-0.18531,3.9356,6h_SI4,6h,SI4,3h_SI1,3h,SI1,4.12091
N900_RS05755,LysE family translocator_1,1.2093361108333334,-0.25687,3.66,1h_st,1h,st,3h_SI2,3h,SI2,3.9168700000000003
N900_RS05760,VC_1711_BLAST,0.3070039500000001,-1.0657,3.3551,12h_st,12h,st,6h_ce,6h,ce,4.4208
N900_RS05765,N900_RS05765,0.64749701,-0.58537,3.4424,6h_st,6h,st,1h_st,1h,st,4.02777
N900_RS05770,"zinc protease, insulinase family",0.5245967833333334,-0.98908,3.5283,24h_co,24h,co,3h_SI1,3h,SI1,4.51738
N900_RS05775,N900_RS05775,0.8143961166666664,-0.77835,6.0086,6h_SI2,6h,SI2,3h_SI4,3h,SI4,6.78695
N900_RS05780,N900_RS05780,1.1074448916666666,-1.1077,5.1733,24h_st,24h,st,6h_ce,6h,ce,6.281000000000001
N900_RS05785,metR,0.9204015000000001,-0.83336,5.3147,1h_SI1,1h,SI1,6h_SI2,6h,SI2,6.14806
N900_RS05790,metE,0.40654108000000005,-1.3461,3.9769,3h_SI9,3h,SI9,3h_SI4,3h,SI4,5.323
N900_RS05795,N900_RS05795,0.9473481833333334,-1.5741,4.0236,1h_SI4,1h,SI4,6h_SI4,6h,SI4,5.5977
N900_RS05800,ycii,-0.19724176666666665,-2.495,4.8932,6h_SI5,6h,SI5,3h_SI1,3h,SI1,7.3882
N900_RS05805,yciA_1,0.31494208833333326,-1.0869,3.7849,6h_SI3,6h,SI3,6h_SI2,6h,SI2,4.8718
N900_RS05810,yciB,1.0449707683333334,-0.21984,3.7696,3h_st,3h,st,3h_SI4,3h,SI4,3.98944
N900_RS05815,N900_RS05815,-0.04247970166666664,-1.1022,3.5485,6h_SI1,6h,SI1,3h_SI2,3h,SI2,4.6507000000000005
N900_RS05820,ydcf,-0.12795770333333334,-1.8573,2.7716,6h_st,6h,st,6h_SI4,6h,SI4,4.6289
N900_RS05825,yeeZ,1.0266075133333332,-0.64169,4.3243,3h_ce,3h,ce,3h_SI1,3h,SI1,4.96599
N900_RS05830,DNA-binding protein inhibitor Id-2-related protein,0.9703058916666666,-0.50861,2.8377,3h_SI1,3h,SI1,6h_st,6h,st,3.34631
N900_RS05835,focA_1,0.37486334666666665,-0.92932,2.8902,6h_st,6h,st,1h_st,1h,st,3.8195200000000002
N900_RS05840,N900_RS05840,0.8170477166666665,-0.64383,4.6861,24h_co,24h,co,3h_SI2,3h,SI2,5.32993
N900_RS05845,torE,1.2039759966666668,-0.27026,3.5288,1h_SI6,1h,SI6,6h_SI3,6h,SI3,3.79906
N900_RS05850,torC,1.0276815166666666,-0.79525,4.1319,12h_SI8,12h,SI8,3h_SI1,3h,SI1,4.92715
N900_RS05855,torA,1.2798256483333335,-0.32536,5.7638,1h_SI8,1h,SI8,12h_SI1,12h,SI1,6.08916
N900_RS05860,alpha-galactosidase,0.7244041733333333,-0.98298,4.4041,3h_SI6,3h,SI6,6h_SI1,6h,SI1,5.387079999999999
N900_RS05865,N900_RS05865,1.0707480983333333,-0.30003,3.4813,6h_co,6h,co,6h_SI1,6h,SI1,3.78133
N900_RS05870,N900_RS05870,-0.17895541666666667,-1.929,2.4462,24h_SI1,24h,SI1,3h_SI1,3h,SI1,4.3752
N900_RS05875,ppaC,1.3158249833333335,-0.12533,3.5107,3h_st,3h,st,6h_ce,6h,ce,3.63603
N900_RS05880,N900_RS05880,1.1245002833333333,-0.17929,5.4803,1h_SI6,1h,SI6,3h_st,3h,st,5.65959
N900_RS05885,N900_RS05885,0.9249959016666666,-0.64677,4.8737,1h_SI1,1h,SI1,6h_SI1,6h,SI1,5.52047
