Gene,PC,PC_score,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range,Abs_PC_score,Direction
N900_RS11270,PC2,-3.618603952204323,N900_RS11270,0.6969896833333333,-1.5257,5.4293,1h_ce,1h,ce,6h_ce,6h,ce,6.955,3.618603952204323,Negative
N900_RS18365,PC2,-3.6094398001948744,mcpQ,1.0476492,-0.46607,4.335,3h_co,3h,co,3h_SI5,3h,SI5,4.80107,3.6094398001948744,Negative
N900_RS03455,PC2,-3.6077330495635755,flgB,0.3184827583333332,-1.8774,3.6052,6h_SI1,6h,SI1,3h_SI5,3h,SI5,5.4826,3.6077330495635755,Negative
N900_RS18410,PC2,-3.5786678838831962,aer_2,0.9651875166666667,-1.4096,4.8851,1h_co,1h,co,3h_SI4,3h,SI4,6.294700000000001,3.5786678838831962,Negative
N900_RS15500,PC3,5.773580115459733,N900_RS15500,0.015586116666666669,0.00036696,0.37722,12h_ce,12h,ce,3h_st,3h,st,0.37685304,5.773580115459733,Positive
N900_RS18445,PC3,5.611297981441148,vcaM,0.006609450833333333,0.00019262,0.17305,6h_SI7,6h,SI7,3h_st,3h,st,0.17285738,5.611297981441148,Positive
N900_RS16275,PC3,5.505100882708694,tata,-0.03548136366666666,-1.813,5.3506,12h_SI4,12h,SI4,3h_st,3h,st,7.1636,5.505100882708694,Positive
N900_RS11735,PC3,5.318645699554295,sspB,0.004116381,0.00015513,0.1701,6h_SI4,6h,SI4,3h_st,3h,st,0.16994487,5.318645699554295,Positive
N900_RS03430,PC3,5.2490511032363765,flgN,0.0059134508333333335,0.00024007,0.2015,6h_SI3,6h,SI3,3h_st,3h,st,0.20125993,5.2490511032363765,Positive
N900_RS06650,PC3,5.1521945887068545,N900_RS06650,0.009954808333333332,0.00012735,0.43711,1h_SI7,1h,SI7,3h_st,3h,st,0.43698265,5.1521945887068545,Positive
N900_RS10195,PC3,5.034624785896005,citE,0.003811014930833333,-9.0514e-06,0.1667,1h_SI5,1h,SI5,3h_st,3h,st,0.16670905139999997,5.034624785896005,Positive
N900_RS12285,PC3,4.970509824890255,N900_RS12285,0.0027146426351666664,-8.333e-06,0.11933,12h_SI8,12h,SI8,3h_st,3h,st,0.119338333,4.970509824890255,Positive
N900_RS12700,PC3,4.888795214966678,assimilatory sulfite reductase (NADPH) flavoprotein subunit,0.0073533885,0.00017099,0.16681,6h_SI2,6h,SI2,3h_st,3h,st,0.16663901,4.888795214966678,Positive
N900_RS16620,PC3,4.875585211461445,rnk,0.006918493833333332,0.00037715,0.11786,6h_SI7,6h,SI7,3h_st,3h,st,0.11748285,4.875585211461445,Positive
N900_RS16775,PC3,4.819676724232368,Probable transporter XF_0766_BLAST,0.0026558358566666665,6.9364e-06,0.11476,6h_SI5,6h,SI5,3h_st,3h,st,0.1147530636,4.819676724232368,Positive
N900_RS05355,PC3,4.7850887218050495,ATPase AAA,0.009900648,0.00048811,0.15721,1h_SI7,1h,SI7,3h_st,3h,st,0.15672188999999997,4.7850887218050495,Positive
N900_RS08150,PC3,4.7729791519969496,N900_RS08150,0.005595575500000001,0.00033236,0.16587,12h_SI2,12h,SI2,3h_st,3h,st,0.16553763999999999,4.7729791519969496,Positive
N900_RS15335,PC3,4.693915768881472,type VI secretion system PAAR protein_1,0.008635900833333333,0.00062908,0.17791,12h_SI8,12h,SI8,3h_st,3h,st,0.17728092,4.693915768881472,Positive
N900_RS14885,PC3,4.45815453987844,arfA,0.8576631833333335,-1.2438,5.3348,12h_SI1,12h,SI1,3h_SI1,3h,SI1,6.578600000000001,4.45815453987844,Positive
N900_RS18770,PC3,4.439204634554847,lrp_3,0.011676482833333333,0.00036118,0.14905,6h_SI1,6h,SI1,3h_st,3h,st,0.14868882,4.439204634554847,Positive
N900_RS02890,PC3,4.438175006041351,recD,0.6011931999999999,-1.8056,4.129,3h_co,3h,co,3h_SI1,3h,SI1,5.9346,4.438175006041351,Positive
N900_RS19395,PC3,4.3747431121453815,N900_RS19395,0.3690650033333333,-2.0834,6.3661,3h_ce,3h,ce,3h_st,3h,st,8.4495,4.3747431121453815,Positive
N900_RS16350,PC3,4.310291479961677,N900_RS16350,0.8716396166666667,-0.9189,5.8887,12h_SI2,12h,SI2,3h_st,3h,st,6.8076,4.310291479961677,Positive
N900_RS02705,PC3,4.28131337652946,thrC,0.4134463033333333,-1.1138,6.2625,6h_co,6h,co,3h_st,3h,st,7.3763000000000005,4.28131337652946,Positive
N900_RS15545,PC3,4.263783135782185,OsmC family peroxiredoxin,0.2921222333333333,-1.1124,4.471,6h_SI1,6h,SI1,3h_st,3h,st,5.5834,4.263783135782185,Positive
N900_RS13725,PC3,4.217201718403101,N900_RS13725,-0.012123638333333294,-3.2666,5.2063,3h_SI9,3h,SI9,3h_st,3h,st,8.4729,4.217201718403101,Positive
N900_RS08935,PC3,4.200721852053328,ykgj,0.10174170000000003,-1.4447,4.9711,6h_SI2,6h,SI2,3h_st,3h,st,6.4158,4.200721852053328,Positive
N900_RS10620,PC3,4.165798746284179,pgeF,0.010234400833333332,0.00081172,0.15932,6h_st,6h,st,3h_st,3h,st,0.15850828,4.165798746284179,Positive
N900_RS09810,PC3,4.029438689282333,rpmE2,1.510024345,-0.41295,8.2299,1h_ce,1h,ce,3h_st,3h,st,8.642850000000001,4.029438689282333,Positive
N900_RS12480,PC3,-3.7495188901518275,rraB,-0.45777685,-2.0647,3.6876,6h_SI5,6h,SI5,6h_st,6h,st,5.7523,3.7495188901518275,Negative
N900_RS02440,PC3,-3.72097003135881,recJ,0.5059580100000001,-1.0095,3.1874,3h_st,3h,st,6h_SI3,6h,SI3,4.196899999999999,3.72097003135881,Negative
N900_RS02115,PC3,-3.676088143483055,long-chain fatty acid--CoA ligase,0.06106000666666668,-1.2326,4.0658,6h_SI7,6h,SI7,3h_SI3,3h,SI3,5.2984,3.676088143483055,Negative
N900_RS18695,PC3,-3.5162662479089244,N900_RS18695,0.5465653333333332,-0.76862,3.6284,3h_SI2,3h,SI2,3h_SI3,3h,SI3,4.39702,3.5162662479089244,Negative
N900_RS09090,PC3,-3.4259664415344213,moaD,0.05229599999999999,-1.4129,2.6728,1h_SI3,1h,SI3,12h_SI1,12h,SI1,4.0857,3.4259664415344213,Negative
N900_RS06280,PC3,-3.419561324819652,N900_RS06280,-1.3573059500000002,-5.3348,3.6508,6h_SI6,6h,SI6,12h_SI1,12h,SI1,8.9856,3.419561324819652,Negative
N900_RS18620,PC3,-3.3934184703124983,N900_RS18620,0.33199108016666673,-1.3442,2.6237,6h_SI1,6h,SI1,12h_SI1,12h,SI1,3.9679,3.3934184703124983,Negative
N900_RS06680,PC3,-3.3445737126263055,btuD_1,0.7745641216666667,-1.003,4.0921,24h_SI9,24h,SI9,12h_st,12h,st,5.0951,3.3445737126263055,Negative
N900_RS08470,PC3,-3.340898522123597,DNA transformation protein,1.2574838166666666,-1.4547,5.8525,6h_SI5,6h,SI5,12h_SI1,12h,SI1,7.3072,3.340898522123597,Negative
