Model,Program,Time,Space,Value
CPVAE,CPVAE4,24h,SI8,-0.0017883995
CPVAE,CPVAE4,24h,SI9,-0.00083802996
CPVAE,CPVAE4,24h,ce,-0.0022814672
CPVAE,CPVAE4,24h,co,-0.00013182781
CPVAE,CPVAE5,1h,st,0.0017312665
CPVAE,CPVAE5,1h,SI1,0.017994557
CPVAE,CPVAE5,1h,SI2,0.01464954
CPVAE,CPVAE5,1h,SI3,0.011121335
CPVAE,CPVAE5,1h,SI4,0.0043192767
CPVAE,CPVAE5,1h,SI5,-0.0053302185
CPVAE,CPVAE5,1h,SI6,-0.007156184
CPVAE,CPVAE5,1h,SI7,-0.007851488
CPVAE,CPVAE5,1h,SI8,-0.006068306
CPVAE,CPVAE5,1h,SI9,-0.005614563
CPVAE,CPVAE5,1h,ce,-0.00023805037
CPVAE,CPVAE5,1h,co,-0.003992033
CPVAE,CPVAE5,3h,st,0.0013268504
CPVAE,CPVAE5,3h,SI1,0.013791109
CPVAE,CPVAE5,3h,SI2,0.011227474
CPVAE,CPVAE5,3h,SI3,0.008523442
CPVAE,CPVAE5,3h,SI4,0.003310313
CPVAE,CPVAE5,3h,SI5,-0.0040851035
CPVAE,CPVAE5,3h,SI6,-0.0054845316
CPVAE,CPVAE5,3h,SI7,-0.006017416
CPVAE,CPVAE5,3h,SI8,-0.004650777
CPVAE,CPVAE5,3h,SI9,-0.004303026
CPVAE,CPVAE5,3h,ce,-0.00018244288
CPVAE,CPVAE5,3h,co,-0.0030595122
CPVAE,CPVAE5,6h,st,0.007943077
CPVAE,CPVAE5,6h,SI1,0.082559295
CPVAE,CPVAE5,6h,SI2,0.06721231
CPVAE,CPVAE5,6h,SI3,0.051024854
CPVAE,CPVAE5,6h,SI4,0.019816905
CPVAE,CPVAE5,6h,SI5,-0.024455123
CPVAE,CPVAE5,6h,SI6,-0.03283268
CPVAE,CPVAE5,6h,SI7,-0.036022745
CPVAE,CPVAE5,6h,SI8,-0.027841479
CPVAE,CPVAE5,6h,SI9,-0.025759697
CPVAE,CPVAE5,6h,ce,-0.0010921786
CPVAE,CPVAE5,6h,co,-0.018315509
CPVAE,CPVAE5,12h,st,0.012569186
CPVAE,CPVAE5,12h,SI1,0.13064247
CPVAE,CPVAE5,12h,SI2,0.106357284
CPVAE,CPVAE5,12h,SI3,0.08074212
CPVAE,CPVAE5,12h,SI4,0.031358425
CPVAE,CPVAE5,12h,SI5,-0.038697973
CPVAE,CPVAE5,12h,SI6,-0.051954683
CPVAE,CPVAE5,12h,SI7,-0.05700267
CPVAE,CPVAE5,12h,SI8,-0.044056572
CPVAE,CPVAE5,12h,SI9,-0.040762346
CPVAE,CPVAE5,12h,ce,-0.001728272
CPVAE,CPVAE5,12h,co,-0.028982602
CPVAE,CPVAE5,24h,st,0.0020309235
CPVAE,CPVAE5,24h,SI1,0.021109153
CPVAE,CPVAE5,24h,SI2,0.017185163
CPVAE,CPVAE5,24h,SI3,0.013046277
CPVAE,CPVAE5,24h,SI4,0.00506688
CPVAE,CPVAE5,24h,SI5,-0.0062528015
CPVAE,CPVAE5,24h,SI6,-0.008394815
CPVAE,CPVAE5,24h,SI7,-0.009210466
CPVAE,CPVAE5,24h,SI8,-0.0071186414
CPVAE,CPVAE5,24h,SI9,-0.0065863617
CPVAE,CPVAE5,24h,ce,-0.0002792534
CPVAE,CPVAE5,24h,co,-0.004682996
CPVAE,CPVAE6,1h,st,0.12688358
CPVAE,CPVAE6,1h,SI1,-0.009589159
CPVAE,CPVAE6,1h,SI2,0.022882698
CPVAE,CPVAE6,1h,SI3,0.04504481
CPVAE,CPVAE6,1h,SI4,0.061119024
CPVAE,CPVAE6,1h,SI5,0.026351603
CPVAE,CPVAE6,1h,SI6,0.014269266
CPVAE,CPVAE6,1h,SI7,0.01092097
CPVAE,CPVAE6,1h,SI8,0.017071728
CPVAE,CPVAE6,1h,SI9,0.026252512
CPVAE,CPVAE6,1h,ce,0.06303797
CPVAE,CPVAE6,1h,co,0.031130012
CPVAE,CPVAE6,3h,st,0.122916535
CPVAE,CPVAE6,3h,SI1,-0.009289351
CPVAE,CPVAE6,3h,SI2,0.022167264
CPVAE,CPVAE6,3h,SI3,0.04363647
CPVAE,CPVAE6,3h,SI4,0.05920812
CPVAE,CPVAE6,3h,SI5,0.025527712
CPVAE,CPVAE6,3h,SI6,0.013823134
CPVAE,CPVAE6,3h,SI7,0.010579524
CPVAE,CPVAE6,3h,SI8,0.016537977
CPVAE,CPVAE6,3h,SI9,0.02543172
CPVAE,CPVAE6,3h,ce,0.06106707
CPVAE,CPVAE6,3h,co,0.030156724
CPVAE,CPVAE6,6h,st,-0.14324628
CPVAE,CPVAE6,6h,SI1,0.010825762
CPVAE,CPVAE6,6h,SI2,-0.025833612
CPVAE,CPVAE6,6h,SI3,-0.050853714
CPVAE,CPVAE6,6h,SI4,-0.06900083
CPVAE,CPVAE6,6h,SI5,-0.029749861
CPVAE,CPVAE6,6h,SI6,-0.016109407
CPVAE,CPVAE6,6h,SI7,-0.01232932
CPVAE,CPVAE6,6h,SI8,-0.01927327
CPVAE,CPVAE6,6h,SI9,-0.029637992
CPVAE,CPVAE6,6h,ce,-0.07116724
CPVAE,CPVAE6,6h,co,-0.035144486
CPVAE,CPVAE6,12h,st,0.0019645023
CPVAE,CPVAE6,12h,SI1,-0.0001484662
CPVAE,CPVAE6,12h,SI2,0.00035428625
CPVAE,CPVAE6,12h,SI3,0.0006974159
CPVAE,CPVAE6,12h,SI4,0.0009462884
CPVAE,CPVAE6,12h,SI5,0.00040799432
CPVAE,CPVAE6,12h,SI6,0.00022092697
CPVAE,CPVAE6,12h,SI7,0.00016908626
CPVAE,CPVAE6,12h,SI8,0.0002643167
CPVAE,CPVAE6,12h,SI9,0.00040646014
CPVAE,CPVAE6,12h,ce,0.0009759989
CPVAE,CPVAE6,12h,co,0.0004819771
CPVAE,CPVAE6,24h,st,-0.021573385
CPVAE,CPVAE6,24h,SI1,0.001630397
CPVAE,CPVAE6,24h,SI2,-0.0038906313
CPVAE,CPVAE6,24h,SI3,-0.0076587447
CPVAE,CPVAE6,24h,SI4,-0.010391763
CPVAE,CPVAE6,24h,SI5,-0.004480432
CPVAE,CPVAE6,24h,SI6,-0.0024261323
CPVAE,CPVAE6,24h,SI7,-0.0018568382
CPVAE,CPVAE6,24h,SI8,-0.0029026212
CPVAE,CPVAE6,24h,SI9,-0.0044635837
CPVAE,CPVAE6,24h,ce,-0.010718032
CPVAE,CPVAE6,24h,co,-0.0052928813
