Gene,PCA_MSE,CP_MSE,VAE_MSE,Gene_display,mean_fitness,min_fitness,max_fitness,strongest_defect_feature,strongest_defect_time,strongest_defect_space,strongest_positive_feature,strongest_positive_time,strongest_positive_space,dynamic_range
N900_RS05965,0.44309594829530496,0.40992072005561975,0.3251993696838541,sodium-dependent transporter_3,0.6845231826666667,-0.74027,3.142,6h_st,6h,st,1h_st,1h,st,3.88227
N900_RS05970,0.3153304021874454,0.28428718219403315,0.2849611291750278,TIGR01621 family pseudouridine synthase,0.4516478333333334,-0.99179,3.3791,6h_SI9,6h,SI9,12h_st,12h,st,4.37089
N900_RS05975,0.61433486558794,0.5712241628317337,0.623375691126242,ynjF,0.5720633216666667,-0.72954,3.5696,3h_SI2,3h,SI2,6h_ce,6h,ce,4.2991399999999995
N900_RS05980,0.1504701326356206,0.1447424388186237,0.20731029157940142,malK_1,1.3904797083333333,-0.33479,4.5215,1h_SI7,1h,SI7,3h_st,3h,st,4.8562899999999996
N900_RS05985,0.6571685726621619,0.7560980624478427,0.4927149644388518,ABC transporter permease subunit_1,0.007286983333333362,-1.6819,3.4687,6h_SI3,6h,SI3,1h_SI1,1h,SI1,5.1506
N900_RS05990,0.5489025538301776,0.45765183253092206,0.4571742486401143,ynjB,0.7727300358833333,-0.71241,4.009,1h_co,1h,co,3h_st,3h,st,4.7214100000000006
N900_RS05995,0.6103527827935015,0.6097352040902668,0.5385103751817307,hslJ,0.9157164216666664,-0.51588,3.4316,24h_SI1,24h,SI1,3h_SI1,3h,SI1,3.94748
N900_RS06000,0.5876064719212519,0.5595667700843009,0.6410870334918201,N900_RS06000,0.9870071166666665,-0.71271,5.7034,6h_SI4,6h,SI4,3h_SI3,3h,SI3,6.41611
N900_RS06005,0.8670009328711655,0.8946995205125571,0.7616863975877689,N900_RS06005,-0.12930091666666665,-1.6707,2.9953,12h_SI4,12h,SI4,1h_co,1h,co,4.666
N900_RS06010,0.6155892559620987,0.586042409516492,0.6433426128717846,ybhS,0.7514581333333332,-0.70059,4.3725,6h_SI4,6h,SI4,6h_st,6h,st,5.07309
N900_RS06015,0.2970499750029591,0.2714816604717265,0.2202619616788087,ybhF,1.3757755999999999,-0.016912,5.0984,1h_SI5,1h,SI5,3h_st,3h,st,5.115311999999999
N900_RS06020,0.38990760670385716,0.4058317005377656,0.4121909306609151,HlyD family efflux transporter periplasmic adaptor subunit,0.6956734433333334,-0.6512,3.5562,1h_st,1h,st,6h_SI1,6h,SI1,4.2074
N900_RS06025,0.3837141075465045,0.37628892879246406,0.5230218128231797,sdaC,1.45522935,-0.25703,4.9774,1h_SI5,1h,SI5,3h_SI3,3h,SI3,5.234430000000001
N900_RS06030,0.2464287761609588,0.28792972818551615,0.33153909077914584,eamA_5,1.5007903333333332,-0.87426,4.8653,1h_co,1h,co,6h_SI3,6h,SI3,5.739560000000001
N900_RS06035,0.13808885208594834,0.1568938525040936,0.1270151685451869,mgtE_2,1.1067607683333334,-1.2991,3.8558,1h_SI7,1h,SI7,3h_SI4,3h,SI4,5.1549
N900_RS06040,0.6609249425721814,0.7675495476760853,0.5565965702728165,rcsC_2,0.005152595000000019,-3.9309,4.1768,12h_SI8,12h,SI8,12h_SI1,12h,SI1,8.1077
N900_RS06045,0.1817243180771321,0.13953965378216066,0.15641013054633798,vieA,1.2064602833333333,-0.24332,3.6892,3h_co,3h,co,3h_SI5,3h,SI5,3.9325200000000002
N900_RS06050,0.20391511223838027,0.2423915636663094,0.19019367105296106,response regulator_1,0.810921135,-0.45239,3.88,6h_st,6h,st,3h_SI4,3h,SI4,4.33239
N900_RS06055,0.3432929980236137,0.351853852421911,0.24070633295035793,Pseudogene_N900_RS06055,0.9697463166666668,-0.17048,3.9766,1h_SI7,1h,SI7,6h_st,6h,st,4.14708
N900_RS06060,0.20753547880448675,0.24553355043339528,0.21061646789775706,vesC,0.7519662216666666,-0.56573,3.2696,3h_st,3h,st,3h_SI1,3h,SI1,3.83533
N900_RS06065,0.42243427569767067,0.47679651059329964,0.4349797481147243,sgrR_1,0.5030440516666667,-0.72733,4.3474,6h_co,6h,co,3h_st,3h,st,5.074730000000001
N900_RS06070,0.26308737369432833,0.1756119586275055,0.24527021376185126,N900_RS06070,0.5034216666666667,-0.98654,3.8765,12h_st,12h,st,1h_SI1,1h,SI1,4.86304
N900_RS06080,0.5211721985451763,0.5874687944555139,0.493652660388136,N900_RS06080,0.8360154400000002,-0.92041,3.9426,6h_SI1,6h,SI1,1h_SI1,1h,SI1,4.86301
N900_RS06085,0.6125709792648419,0.6478301536373506,0.5951116747538526,methyl-accepting chemotaxis protein_8,1.1758768,-0.37777,4.4244,1h_SI8,1h,SI8,3h_SI3,3h,SI3,4.80217
N900_RS06090,0.41859736999312436,0.4320127766826961,0.3242217166199779,N900_RS06090,0.8432739333333333,-0.53219,3.2107,3h_SI4,3h,SI4,3h_st,3h,st,3.74289
N900_RS06095,0.42512786818340853,0.4153439682954994,0.3927313229193517,N900_RS06095,1.2943055833333335,0.036525,4.5253,6h_SI4,6h,SI4,6h_SI1,6h,SI1,4.4887749999999995
N900_RS06100,0.4962629253224003,0.4630471899166409,0.4342329721166772,bluF,0.6029154,-1.0979,4.6549,3h_SI8,3h,SI8,12h_SI1,12h,SI1,5.7528
N900_RS06110,0.2436897272261006,0.2762944709448878,0.24233430654297874,sensor histidine kinase_1,-0.64541843,-3.1373,3.8074,1h_SI4,1h,SI4,3h_SI3,3h,SI3,6.9447
N900_RS06120,0.5361487255589397,0.6384625823317366,0.5026844826922398,membrane protein_6,0.3729076166666667,-1.8226,4.2007,24h_SI3,24h,SI3,12h_SI1,12h,SI1,6.023300000000001
N900_RS06125,0.5176393359097068,0.5215643769540406,0.5451008276993047,radD,-0.32587666666666665,-1.9544,3.3816,12h_SI8,12h,SI8,6h_SI3,6h,SI3,5.336
N900_RS06130,0.3629641966673729,0.34663659553531934,0.32600855060652856,rsuA,0.8846858233333335,-0.66437,4.6079,3h_SI4,3h,SI4,3h_SI3,3h,SI3,5.27227
N900_RS06135,0.27752512574857674,0.28043644441215576,0.3038431650640122,bcr_1,0.43592040000000004,-1.01,3.8872,12h_SI6,12h,SI6,1h_SI1,1h,SI1,4.8972
N900_RS06140,0.6724147731634245,0.6340289412477672,0.6673509427706373,N900_RS06140,0.75492093,-0.91515,3.7215,1h_ce,1h,ce,3h_SI3,3h,SI3,4.6366499999999995
N900_RS06145,0.19047383577490914,0.1891054139100454,0.21105010783463082,Putative NAD(P)-binding protein YbjT_BLAST,1.2660860333333332,-0.30178,4.3368,1h_SI6,1h,SI6,6h_SI4,6h,SI4,4.63858
N900_RS06150,0.7580976049182534,0.6071690895726749,0.7528121236199792,norM_2,-0.47219985000000003,-2.6746,4.6055,3h_SI6,3h,SI6,6h_SI3,6h,SI3,7.2801
N900_RS06155,0.7379808607626986,0.744319700379863,0.7881878707324703,lolD_2,0.9367486833333332,-0.79434,3.64,1h_SI2,1h,SI2,3h_SI3,3h,SI3,4.434340000000001
N900_RS06160,0.16876207491741296,0.17912642364022935,0.19789300114885394,ABC transporter permease_1,1.3019424733333333,-0.24903,3.2485,3h_co,3h,co,6h_SI4,6h,SI4,3.49753
N900_RS06165,0.32473677962053654,0.3570266770484077,0.31975751125512714,attH,1.1844797733333334,-0.42195,3.9753,6h_st,6h,st,3h_SI2,3h,SI2,4.39725
N900_RS06170,0.45691126756494427,0.3922479751175346,0.46616668944537426,nhaA,1.1565925333333336,-0.68908,4.7214,6h_co,6h,co,3h_SI2,3h,SI2,5.41048
N900_RS06175,0.6993684550259008,0.7350768009713341,0.7312942610007361,argD,0.9509754166666666,-2.0934,4.965,1h_SI2,1h,SI2,12h_SI2,12h,SI2,7.0584
N900_RS06180,0.497562717762057,0.5351551168399411,0.38203345925686444,VC_1624_BLAST,1.0404717166666666,-0.56893,6.0349,1h_SI4,1h,SI4,3h_st,3h,st,6.60383
N900_RS06185,0.48982252240754465,0.5026200532837207,0.4809264350867456,nspC,0.6152272833333333,-0.80671,3.1965,6h_SI9,6h,SI9,3h_SI4,3h,SI4,4.00321
N900_RS06190,0.7386984111584309,0.854870469095066,0.7618078889999531,oprF,0.6862034933333333,-0.50035,3.268,6h_SI2,6h,SI2,3h_SI6,3h,SI6,3.76835
N900_RS06195,0.457363818506123,0.4651155008408317,0.4323610606855547,bepC,1.4891323166666666,0.052564,5.2696,1h_SI8,1h,SI8,3h_SI1,3h,SI1,5.217035999999999
N900_RS06200,0.3950720500375277,0.3824101779450683,0.31252825710433874,Pseudogene_N900_RS06200,0.9270737666666664,-0.45709,3.7651,1h_SI6,1h,SI6,6h_st,6h,st,4.222189999999999
N900_RS06210,0.20941532526158813,0.22342287765652974,0.20620128545214705,N900_RS06210,0.8064984333333333,-0.51619,4.4575,6h_SI7,6h,SI7,3h_SI5,3h,SI5,4.9736899999999995
N900_RS06215,0.5368402729537215,0.5733435361895574,0.6609667688312005,N900_RS06215,0.31736758000000004,-1.2355,3.5411,6h_SI4,6h,SI4,3h_st,3h,st,4.7766
N900_RS06220,0.20914405008203218,0.18648565500982311,0.20682859459331884,ynfM,0.8763427666666668,-0.55502,3.4905,1h_st,1h,st,6h_SI4,6h,SI4,4.04552
N900_RS06225,0.7136693538173263,0.6182285925117859,0.6243642934533327,LysR family transcriptional regulator_5,0.931498155,-1.7134,6.8158,1h_SI9,1h,SI9,3h_st,3h,st,8.5292
N900_RS06230,0.5848531583056631,0.5700826215297632,0.6100889379036956,"glutaredoxin, putative",0.13049939999999996,-1.8429,4.9277,1h_SI2,1h,SI2,6h_SI1,6h,SI1,6.7706
N900_RS06235,0.44073266022144775,0.44288269639147937,0.43208418562815415,ygjP,1.10176135,-0.63341,4.6717,1h_co,1h,co,3h_SI2,3h,SI2,5.305110000000001
N900_RS06240,0.3589803698831301,0.37123073130791456,0.3045786096740306,rlmF,0.5804932050000001,-0.82616,4.1722,12h_st,12h,st,3h_st,3h,st,4.99836
N900_RS06245,0.8740267942744073,0.7409905839027106,0.8277872309110421,N900_RS06245,-1.1752615149999999,-3.4124,2.9078,6h_SI5,6h,SI5,3h_SI6,3h,SI6,6.3202
N900_RS06250,0.6454376630658327,0.5995567341070536,0.6079966110729236,pilW,1.0629094,-0.28585,3.7715,1h_SI8,1h,SI8,3h_SI3,3h,SI3,4.0573500000000005
N900_RS06255,0.5414710733187325,0.4697755835342628,0.5183757075932152,metA,1.2950797666666667,-0.11409,5.1939,3h_SI1,3h,SI1,6h_SI2,6h,SI2,5.30799
N900_RS06260,0.6515910343685573,0.7273995050748674,0.5127212530656589,ATP-binding protein_1,1.1520138611666666,-0.34633,4.6917,6h_SI4,6h,SI4,6h_st,6h,st,5.03803
N900_RS06265,0.9059372938446406,0.7840401304403122,0.8497185604092637,ABC transporter permease_4,0.34822705000000004,-2.6924,4.9633,1h_SI4,1h,SI4,3h_SI1,3h,SI1,7.6557
N900_RS06270,0.8829487910920872,0.6335421727013294,0.8107765317075775,ABC transporter permease_3,-0.515561175,-2.5446,2.7036,1h_SI3,1h,SI3,3h_SI3,3h,SI3,5.2482
N900_RS06275,0.647456380625112,0.6804136260382329,0.6140713794444802,HlyD family secretion protein,-0.7448976499999999,-2.495,3.4803,1h_SI4,1h,SI4,3h_SI3,3h,SI3,5.975300000000001
N900_RS06280,0.5398036564996229,0.7770172871584385,0.37767058114586444,N900_RS06280,-1.3573059500000002,-5.3348,3.6508,6h_SI6,6h,SI6,12h_SI1,12h,SI1,8.9856
N900_RS06285,0.6441156673752488,0.5694952869638115,0.6848905205314699,N900_RS06285,0.1098667781666667,-2.7977,5.2848,12h_SI8,12h,SI8,3h_SI2,3h,SI2,8.0825
N900_RS06290,0.4266659378638107,0.5237463236920428,0.3905771549239641,dpiB,0.6342087499999999,-0.88658,4.136,3h_SI7,3h,SI7,6h_ce,6h,ce,5.0225800000000005
N900_RS06295,0.45911817401086513,0.44325562716208644,0.3994299461180738,citT,0.6784158483333333,-0.58417,3.4302,3h_st,3h,st,12h_st,12h,st,4.01437
N900_RS06300,0.42469376925021046,0.5923639978693044,0.5420905499362771,amino acid ABC transporter substrate-binding protein,1.67125445,-0.16746,5.6876,1h_SI4,1h,SI4,12h_SI1,12h,SI1,5.85506
N900_RS06305,0.24667471060869708,0.3120603948158812,0.26140136983941553,chev_1,1.4909893333333335,-0.30907,5.2178,1h_SI9,1h,SI9,12h_SI2,12h,SI2,5.526870000000001
N900_RS06310,0.6552409545496325,0.6650905262375343,0.6223549382615355,N900_RS06310,0.8199282166666669,-0.46333,4.6233,6h_st,6h,st,6h_SI1,6h,SI1,5.08663
N900_RS06315,0.6767088094947927,0.708178810913725,0.6421055026725594,N900_RS06315,0.9638124833333332,-0.5038,3.618,1h_SI9,1h,SI9,6h_SI3,6h,SI3,4.1218
N900_RS06320,0.5488962073576089,0.6185960841137769,0.5342473862266991,sensor domain-containing diguanylate cyclase_3,-0.23166758333333334,-1.9308,3.4321,24h_st,24h,st,3h_SI3,3h,SI3,5.3629
N900_RS06335,0.7056492809228332,0.6956417799815827,0.788927115067122,ABC transporter substrate-binding protein_7,0.8131936833333334,-1.2873,3.6511,6h_SI3,6h,SI3,3h_SI3,3h,SI3,4.9384
N900_RS06340,0.41750095292028655,0.38682996291297866,0.3970096043767516,bmr3_1,0.35335963333333337,-1.0647,3.7852,3h_SI4,3h,SI4,3h_SI3,3h,SI3,4.8499
N900_RS06345,0.40613098035180656,0.4222999830520891,0.46095592132193103,galT,-0.6258904,-2.3352,2.3864,12h_SI5,12h,SI5,6h_SI3,6h,SI3,4.7216000000000005
N900_RS06350,0.653966661241139,0.635513892582139,0.598766852257086,galK,-0.24927028333333334,-1.8776,3.0163,6h_SI8,6h,SI8,6h_st,6h,st,4.8939
N900_RS06355,0.21193587607768427,0.2756014035796958,0.236060154383451,galM,0.4891164,-0.82597,3.1706,6h_st,6h,st,1h_SI1,1h,SI1,3.9965699999999997
N900_RS06360,0.7757261043276185,0.769924505457796,0.7745632537612366,N900_RS06360,0.6562077416666667,-0.81418,3.6856,3h_SI5,3h,SI5,6h_SI1,6h,SI1,4.49978
N900_RS06365,0.6386925363884691,0.5896763050875702,0.6122119534912096,N900_RS06365,1.4543584666666665,-0.32706,6.1828,1h_SI8,1h,SI8,12h_st,12h,st,6.509860000000001
N900_RS06370,0.43059377487692113,0.4460827001117967,0.40254971341566154,fabG_3,1.22217805,-0.34277,4.5641,1h_SI6,1h,SI6,1h_st,1h,st,4.90687
N900_RS06375,0.5172009502561195,0.4192771838433766,0.5456109764669235,alsS,0.9845323333333333,-0.69278,4.6147,6h_SI2,6h,SI2,3h_SI2,3h,SI2,5.30748
N900_RS06385,0.603094393611612,0.6178164779423103,0.6550509045319792,LysR family transcriptional regulator_6,0.11316683666666666,-1.4342,3.4431,24h_SI1,24h,SI1,3h_SI2,3h,SI2,4.8773
N900_RS06390,0.4899626074043237,0.5130281048825838,0.5605219712480989,ykgB,-0.13443480000000002,-1.6314,3.1552,12h_SI8,12h,SI8,12h_SI1,12h,SI1,4.7866
N900_RS06395,0.7052793670015266,0.5373634143235729,0.6107642088781428,katB,0.02655542499999999,-2.2213,5.4507,6h_ce,6h,ce,3h_st,3h,st,7.672000000000001
N900_RS06400,0.45432174293445693,0.3433265502376297,0.3777402444385262,ankB protein,0.4228683833333333,-0.94908,3.7949,1h_st,1h,st,6h_st,6h,st,4.7439800000000005
N900_RS06405,0.7079926092379587,0.6548835746552384,0.6881637872284395,sodC,0.053715962833333325,-1.3075,3.0308,3h_SI1,3h,SI1,6h_SI2,6h,SI2,4.3383
N900_RS06410,0.644213288644959,0.6035114487707471,0.5710471553783198,dabA_BLAST,0.05664059999999997,-1.3993,3.2424,6h_SI1,6h,SI1,1h_st,1h,st,4.6417
N900_RS06415,0.3677956940137452,0.3510255144431113,0.25110922075073594,dabB,1.09186875,-0.38913,4.0292,12h_st,12h,st,3h_SI1,3h,SI1,4.41833
N900_RS06420,0.3525255798961065,0.4546260683559757,0.4019482752131042,LysR family transcriptional regulator_3,-0.0040467333333333595,-1.4142,3.0185,6h_SI4,6h,SI4,3h_SI2,3h,SI2,4.4327
N900_RS06425,0.5565935975293372,0.4941575805573954,0.5826261815702622,almE,0.9466902666666666,-0.61522,4.662,24h_SI1,24h,SI1,3h_SI3,3h,SI3,5.27722
N900_RS06430,0.6673408947744365,0.7091415693107853,0.6610550149612666,almF,-0.6555937166666668,-2.6337,4.2177,12h_SI1,12h,SI1,1h_SI1,1h,SI1,6.8514
N900_RS06435,0.6696632909198317,0.674913504455628,0.5273599034520264,almG,1.47984925,-0.054004,6.0282,1h_SI4,1h,SI4,3h_SI2,3h,SI2,6.082204
N900_RS06440,0.7612441167284094,0.723624800827725,0.7945902040552526,VCM66_1516_BLAST,-0.6578911000000001,-3.3508,1.5046,3h_SI9,3h,SI9,3h_SI7,3h,SI7,4.8553999999999995
N900_RS06445,0.2673224109792187,0.22571580132171845,0.23996618940630715,N900_RS06445,0.5991164516666667,-0.64961,3.0447,6h_co,6h,co,3h_SI5,3h,SI5,3.69431
N900_RS06450,0.8330744198984514,0.8669229011054331,0.758766417654942,membrane protein_7,0.2462347666666667,-1.6661,5.0831,24h_st,24h,st,6h_ce,6h,ce,6.7492
N900_RS06455,0.6380576818379695,0.6062785104065573,0.5413048409498454,fumC,0.5373946833333333,-1.5278,4.5736,24h_st,24h,st,3h_SI1,3h,SI1,6.1014
N900_RS06460,0.5907920220006674,0.5431097005199468,0.5216525936760935,N900_RS06460,-1.0119508333333331,-2.5012,4.4822,24h_st,24h,st,3h_SI4,3h,SI4,6.9834
N900_RS06465,0.5105188489117796,0.5153999984197901,0.4602931094518209,appC,1.1330999333333334,-0.66141,3.943,6h_SI6,6h,SI6,12h_SI1,12h,SI1,4.60441
N900_RS06470,0.8051406417109129,0.7759696447074195,0.8653516462901079,appB,0.2744866666666666,-1.8986,3.9833,6h_SI1,6h,SI1,6h_ce,6h,ce,5.8819
N900_RS06475,0.7427691664833423,0.6974251429408583,0.7041320287105962,yknY_2,0.29667531666666663,-2.0392,4.9901,6h_SI5,6h,SI5,1h_st,1h,st,7.0293
N900_RS06480,0.5257361254551952,0.5297830438566472,0.534218978197455,macB_1,0.9848011000000002,-0.48826,3.2274,1h_st,1h,st,6h_SI3,6h,SI3,3.7156599999999997
N900_RS06485,0.2825560060633314,0.28793742394803534,0.2524866172633066,macB_2,1.370453883333333,-0.44865,4.1236,1h_SI9,1h,SI9,6h_ce,6h,ce,4.5722499999999995
N900_RS06490,0.861567268220551,0.800501271855649,0.7547597370642208,tolc,0.3882127616666667,-2.6967,3.4288,6h_SI7,6h,SI7,12h_co,12h,co,6.1255
N900_RS06495,0.24200491814658626,0.2798275071100663,0.25480293859777,macA,1.1646526600000002,-0.10084,4.6484,1h_SI7,1h,SI7,12h_SI1,12h,SI1,4.7492399999999995
N900_RS06500,0.824790430928727,0.857105004140413,0.7828196711809684,varG,-0.80341435,-3.7278,1.9281,12h_SI8,12h,SI8,24h_SI2,24h,SI2,5.6559
N900_RS06505,0.4528458142668587,0.36386854203958613,0.4123486175201058,lysr_3,1.3686262649999998,-0.17954,5.1172,3h_SI4,3h,SI4,3h_st,3h,st,5.296740000000001
N900_RS06510,0.8432309495328898,0.7875608649645222,0.7283742701573808,katG,1.6284244,-0.15532,6.1199,1h_SI7,1h,SI7,3h_SI1,3h,SI1,6.27522
N900_RS06515,0.5805538015489357,0.5772420964952627,0.47352003006870025,bglA,0.3514252833333334,-1.2127,4.6944,6h_SI2,6h,SI2,3h_SI4,3h,SI4,5.9071
N900_RS06520,0.2743704259437949,0.24047801738453298,0.21114206502300387,LacI family DNA-binding transcriptional regulator,0.21405076666666664,-1.4059,3.5196,12h_SI7,12h,SI7,3h_st,3h,st,4.9254999999999995
N900_RS06525,0.8937364976285476,0.7753503022087824,0.8234028977066717,rutC,0.8426624833333332,-1.0713,3.4002,6h_SI5,6h,SI5,3h_SI5,3h,SI5,4.4715
N900_RS06530,0.26061817114039154,0.26821047423738487,0.2568384949006655,Toxin-antitoxin biofilm protein TabA homolog_BLAST,0.7889990166666667,-0.54007,3.4739,3h_st,3h,st,6h_SI1,6h,SI1,4.0139700000000005
N900_RS06535,0.3928376662985747,0.43648694074674566,0.3969742644867216,glpQ_1,-0.6283875833333333,-3.2997,3.3835,24h_ce,24h,ce,1h_SI1,1h,SI1,6.6832
N900_RS06540,0.5108517247749705,0.5121698891424742,0.5388226111614378,glpR_1,0.15112328500000005,-1.2938,3.3732,3h_SI6,3h,SI6,6h_SI2,6h,SI2,4.667
N900_RS06545,0.618805176446277,0.6195547424993132,0.602342058434788,ugpc,-0.01677286666666663,-1.8148,5.9263,12h_SI7,12h,SI7,6h_ce,6h,ce,7.7411
N900_RS06550,0.4831575216489325,0.4543026974636708,0.48940692504235017,ugpE,-0.31219335,-2.0951,4.3218,24h_SI3,24h,SI3,3h_SI5,3h,SI5,6.4169
N900_RS06555,0.35737612567788685,0.39730906772159436,0.3544857722392177,ugpA,0.9400644333333333,-0.67973,4.0264,12h_SI7,12h,SI7,3h_SI5,3h,SI5,4.70613
N900_RS06560,0.4400592490640617,0.3663606157281033,0.4813984071884835,ugpB,0.19030280083333334,-2.3256,3.2723,6h_SI7,6h,SI7,6h_SI1,6h,SI1,5.5979
N900_RS06565,0.30728579129404704,0.2514508526072598,0.22169785687877439,tonB,0.9359012466666665,-0.50393,6.0376,6h_co,6h,co,3h_st,3h,st,6.54153
N900_RS06570,0.3401260407482947,0.30821060095431574,0.3646968570507446,mota,0.6697279516666667,-0.84504,3.8276,3h_SI1,3h,SI1,3h_SI2,3h,SI2,4.6726399999999995
N900_RS06575,0.18971505949613165,0.23600395677387068,0.1876770497438839,tolQ_3,1.0613484833333333,-0.39571,4.9052,1h_st,1h,st,12h_SI1,12h,SI1,5.30091
N900_RS06580,0.5521023330114223,0.5388206070488165,0.5690985232699799,exbd,0.913149545,-0.577,4.6941,1h_ce,1h,ce,6h_ce,6h,ce,5.2711
N900_RS06585,0.2391127890255123,0.3576973476455036,0.20374595684604815,TonB_1,0.7636807999999998,-0.84175,4.443,6h_SI7,6h,SI7,6h_st,6h,st,5.28475
N900_RS06590,0.5674942517675701,0.5568576977455592,0.5273390605304806,N900_RS06590,1.0068560766666665,-0.67461,4.6176,1h_ce,1h,ce,3h_SI3,3h,SI3,5.292210000000001
N900_RS06595,0.2312505716396732,0.2881591236661948,0.2386244840130934,ligA_1,0.7796801688333332,-0.67142,3.8058,1h_st,1h,st,3h_SI3,3h,SI3,4.47722
N900_RS06600,0.4560576312121705,0.5583822624326821,0.43931939885918925,N900_RS06600,0.4151725,-1.1839,4.3176,12h_ce,12h,ce,6h_st,6h,st,5.5015
N900_RS06605,0.6566539269015427,0.7060955124715156,0.6157955003662202,vcmA,1.1191887350000003,-0.74045,5.9166,6h_co,6h,co,6h_ce,6h,ce,6.65705
N900_RS06610,0.7683589487855114,0.5682280369860067,0.7875204674687567,CPXCG motif-containing cysteine-rich protein,1.3797458,-1.7883,6.0201,6h_SI7,6h,SI7,12h_SI1,12h,SI1,7.808400000000001
N900_RS06615,0.6689563922693569,0.7403993495467716,0.6828507523745879,VC_1539_BLAST,0.0373588783333333,-1.4805,4.4597,6h_SI3,6h,SI3,3h_SI1,3h,SI1,5.9402
N900_RS06620,0.15857029923673754,0.28469669659282937,0.2169627280591961,N900_RS06620,1.3867726166666665,-0.51522,4.4114,12h_st,12h,st,3h_st,3h,st,4.926620000000001
N900_RS06625,0.28694348610046805,0.2650745352219323,0.29763797599813935,NlpC,0.5121922000000001,-1.0626,2.9137,12h_st,12h,st,6h_SI1,6h,SI1,3.9763
N900_RS06630,0.3691900420489437,0.2980136086497847,0.28619182379327374,methyl-accepting chemotaxis protein_2,1.513814866666667,-0.23704,6.0849,1h_SI8,1h,SI8,6h_st,6h,st,6.321940000000001
N900_RS06635,0.747893308403441,0.7683166424614606,0.7005140721699015,N900_RS06635,0.21786024666666665,-1.5181,4.7797,12h_SI2,12h,SI2,3h_SI3,3h,SI3,6.2978000000000005
N900_RS06640,0.4288015571222894,0.42051861391053275,0.4315009094434711,tRNA-uridine aminocarboxypropyltransferase_BLAST,0.7705398183333333,-0.9013,3.0311,3h_SI1,3h,SI1,1h_SI1,1h,SI1,3.9324
N900_RS06645,0.23230233034204673,0.23044936562671672,0.24739539744177455,nagK,1.1228472183333336,-1.0026,4.1936,1h_SI4,1h,SI4,12h_st,12h,st,5.1962
N900_RS06650,0.2730090841085885,0.23000493610723904,0.05319566188461357,N900_RS06650,0.009954808333333332,0.00012735,0.43711,1h_SI7,1h,SI7,3h_st,3h,st,0.43698265
N900_RS06655,0.9554462519782153,0.8469397853076843,0.9892198363023128,N900_RS06655,1.0726542133333334,-0.36556,5.5148,12h_SI4,12h,SI4,3h_SI1,3h,SI1,5.8803600000000005
N900_RS06660,0.8459841797222468,0.8971988348530059,0.8367253546169189,N900_RS06660,-0.15241848333333333,-1.9089,4.2832,3h_SI6,3h,SI6,6h_st,6h,st,6.1921
N900_RS06665,0.5230148226365798,0.5763373124846005,0.5154777067456218,amino acid ABC transporter,1.0942079999999998,-0.47723,3.9824,3h_co,3h,co,3h_SI1,3h,SI1,4.45963
N900_RS06670,0.5270599302770067,0.4881000068658169,0.4613598924095573,MoeA,1.494521666666667,0.15517,5.0099,1h_SI3,1h,SI3,3h_SI1,3h,SI1,4.85473
N900_RS06675,0.6295806219179471,0.6368091382461131,0.6302052426133197,mobA,0.551868075,-0.77618,4.4296,24h_st,24h,st,12h_SI2,12h,SI2,5.20578
N900_RS06680,0.34904037118843867,0.513103231755829,0.3464920149019297,btuD_1,0.7745641216666667,-1.003,4.0921,24h_SI9,24h,SI9,12h_st,12h,st,5.0951
N900_RS06685,0.9287578371740352,0.8781952025314115,0.9044487520005601,tupB,1.2047893056666663,-0.47567,4.8594,1h_ce,1h,ce,6h_SI1,6h,SI1,5.33507
N900_RS06690,0.796671167874651,0.6976399143959136,0.8408931411789776,tungsten ABC transporter substrate-binding protein,-0.013690531166666664,-1.834,4.7097,24h_st,24h,st,3h_SI1,3h,SI1,6.543699999999999
N900_RS06695,0.3371854017433854,0.2940191736199826,0.31847649734179323,atoC_2,0.6521600499999999,-0.99036,4.9041,3h_st,3h,st,12h_st,12h,st,5.89446
N900_RS06700,0.21836443901636585,0.27838468703633457,0.22029801047378605,sasA_2,0.48825141666666666,-0.65069,2.7977,1h_st,1h,st,6h_SI1,6h,SI1,3.44839
N900_RS06705,0.4971212793744701,0.4983932127365294,0.4563004611835713,ybiT,1.2500275000000003,-0.51878,6.5922,1h_SI1,1h,SI1,3h_st,3h,st,7.11098
N900_RS06710,0.6005231956355617,0.6003736933897704,0.6160180888185897,fdhD,0.8535228,-0.93791,5.0436,6h_co,6h,co,3h_SI1,3h,SI1,5.98151
N900_RS06715,0.6786263295506803,0.652005838408688,0.6509940907289237,N900_RS06715,0.5641505666666667,-1.1735,5.2824,1h_SI1,1h,SI1,3h_SI5,3h,SI5,6.4559
N900_RS06720,0.34677878476803387,0.3306034569421175,0.349830998402785,N900_RS06720,0.24696005000000001,-0.92208,2.9459,6h_SI8,6h,SI8,12h_st,12h,st,3.86798
N900_RS06725,0.37843542757258164,0.3698380895705459,0.28064543361342337,napF_1,0.8388170416666666,-0.54609,4.4715,12h_st,12h,st,3h_st,3h,st,5.01759
N900_RS06730,0.5708781877597296,0.6245143406682079,0.604085087580396,molecular chaperone,0.6710938366666667,-0.71991,4.3707,1h_co,1h,co,6h_SI2,6h,SI2,5.09061
N900_RS06735,0.8055141893440101,0.755977916570136,0.7583913791994551,transcriptional initiation protein Tat,-0.43034179666666666,-2.0082,4.6355,24h_SI2,24h,SI2,6h_SI2,6h,SI2,6.643700000000001
