Program,Program_number,Space,mean_abs_loading,signed_mean_loading,max_abs_loading,Niche,Peak_space,Peak_niche,Peak_mean_abs_loading
CPVAE5,5,SI1,0.07885711938142774,0.07885711938142774,0.1447124183177948,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,SI2,0.08582480624318117,0.08582480624318117,0.1574989706277847,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,SI3,0.02978382539004084,0.02978382539004084,0.054656945168972,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,SI4,0.00459380378015334,-0.00459380378015334,0.0084301894530653,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,SI5,0.02780285868793722,-0.02780285868793722,0.0510216318070888,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,SI6,0.03274601548910136,-0.03274601548910136,0.0600929260253906,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,SI7,0.027775206789374295,-0.027775206789374295,0.0509708859026432,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,SI8,0.0165787785314023,-0.0165787785314023,0.0304240770637989,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,SI9,0.00885758558288212,-0.00885758558288212,0.0162547472864389,small_intestine,SI2,small_intestine,0.08582480624318117
CPVAE5,5,ce,0.01107256286777552,-0.01107256286777552,0.0203195009380579,cecum,SI2,small_intestine,0.08582480624318117
CPVAE5,5,co,0.01272279066033658,-0.01272279066033658,0.023347869515419,colon,SI2,small_intestine,0.08582480624318117
CPVAE5,5,st,0.00406001058872784,0.00406001058872784,0.0074506136588752,stomach,SI2,small_intestine,0.08582480624318117
CPVAE6,6,SI1,0.044818236306309656,-0.025358659401535977,0.0877314060926437,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,SI2,0.00544636091217394,-0.00308161200955506,0.0106612164527177,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,SI3,0.02870960943400854,-0.01624421812593934,0.056198876351118,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,SI4,0.06786811798810957,-0.03840054124593732,0.1328514069318771,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,SI5,0.01388861853629346,-0.00785833578556774,0.027186881750822,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,SI6,0.006564524956047481,-0.00371428169310088,0.0128500154241919,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,SI7,0.00245221864897754,0.0013874927768483401,0.0048002023249864,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,SI8,0.00551677853800352,0.00312145506031808,0.0107990587130188,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,SI9,0.00482290736399586,0.0027288550045341,0.009440810419619,small_intestine,SI4,small_intestine,0.06786811798810957
CPVAE6,6,ce,0.00390575486235316,0.00220991983078416,0.0076454901136457,cecum,SI4,small_intestine,0.06786811798810957
CPVAE6,6,co,0.012814517319202379,0.007250597327947579,0.0250843353569507,colon,SI4,small_intestine,0.06786811798810957
CPVAE6,6,st,0.06754592359066006,-0.03821823894977566,0.1322207152843475,stomach,SI4,small_intestine,0.06786811798810957
CPVAE7,7,SI1,0.04708721234928812,-0.006349309044890122,0.096816562116146,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,SI2,0.0786798851564526,-0.010609312169253801,0.1617746204137802,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,SI3,0.02813935355516146,-0.0037943515111692207,0.0578576512634754,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,SI4,0.048878283449448626,-0.006590819195844222,0.1004992052912712,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,SI5,0.01697187515674154,-0.0022885128739289795,0.0348960682749748,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,SI6,0.001434635093028139,-0.00019344830216141902,0.002949769841507,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,SI7,8.088452165111449e-06,1.090658844304926e-06,1.663076000113506e-05,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,SI8,0.00026765267466540845,3.60906866262608e-05,0.0005503237480297,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,SI9,0.00470322887704238,-0.00063419014040846,0.0096703637391328,small_intestine,st,stomach,0.0883189126383513
CPVAE7,7,ce,0.0008857487671775552,-0.00011943567660635326,0.0018211982678622,cecum,st,stomach,0.0883189126383513
CPVAE7,7,co,0.0032433086133095796,-0.0004373324743937401,0.0066686044447124,colon,st,stomach,0.0883189126383513
CPVAE7,7,st,0.0883189126383513,0.011909052683040497,0.1815935373306274,stomach,st,stomach,0.0883189126383513
CPVAE8,8,SI1,0.00429047161014746,0.00429047161014746,0.0119160655885934,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,SI2,0.007123444532044181,-0.007123444532044181,0.0197841729968786,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,SI3,0.00445409175008532,-0.00445409175008532,0.0123704932630062,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,SI4,0.017665110132656942,-0.017665110132656942,0.0490618832409381,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,SI5,0.02267963709309692,-0.02267963709309692,0.0629888921976089,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,SI6,0.0278437984641641,-0.0278437984641641,0.0773314833641052,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,SI7,0.029364769160747484,-0.029364769160747484,0.0815557241439819,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,SI8,0.028238746756687715,-0.028238746756687715,0.0784283876419067,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,SI9,0.02591159581206734,-0.02591159581206734,0.0719651132822036,small_intestine,SI7,small_intestine,0.029364769160747484
CPVAE8,8,ce,0.011363782547414259,-0.011363782547414259,0.0315610021352767,cecum,SI7,small_intestine,0.029364769160747484
CPVAE8,8,co,0.00136641240678722,-0.00136641240678722,0.003794981399551,colon,SI7,small_intestine,0.029364769160747484
CPVAE8,8,st,0.01450111733283844,0.01450111733283844,0.0402744226157665,stomach,SI7,small_intestine,0.029364769160747484
CPVAE9,9,SI1,0.01520221051760014,0.013747014803811899,0.0350905656814575,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,SI2,0.00109537310781884,0.00099052109871988,0.0025283994618803,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,SI3,0.005586397508159239,0.0050516527611761996,0.012894825078547,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,SI4,0.0195621764287352,-0.01768963318318124,0.0451544746756553,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,SI5,0.026402677968144384,-0.02387534379959106,0.0609440915286541,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,SI6,0.020068595185875858,-0.01814757622778414,0.0463234186172485,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,SI7,0.0184260135516524,-0.01666222680360076,0.0425319224596023,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,SI8,0.01684278668835754,-0.0152305505238473,0.0388774313032627,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,SI9,0.012990652536973301,-0.01174715296365318,0.0299857277423143,small_intestine,st,stomach,0.06100950036197896
CPVAE9,9,ce,0.04892370197921988,-0.04424059595912692,0.1129283383488655,cecum,st,stomach,0.06100950036197896
CPVAE9,9,co,0.00955679328180846,-0.00864199171774086,0.0220595076680183,colon,st,stomach,0.06100950036197896
CPVAE9,9,st,0.06100950036197896,0.05516950991004703,0.1408254355192184,stomach,st,stomach,0.06100950036197896
