Rank,Model,Program_1,Program_2,Correlation,Basis_source
6,VAE,VAE6,VAE5,-0.3247092893379439,first_6_programs_from_rank10_fit
6,VAE,VAE6,VAE6,1.0,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE1,CPVAE1,0.9999999999999999,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE1,CPVAE2,0.36465209481615685,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE1,CPVAE3,0.03541023948163845,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE1,CPVAE4,0.2996470768394944,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE1,CPVAE5,0.006024671221342642,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE1,CPVAE6,-0.09476482218210838,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE2,CPVAE1,0.3646520948161568,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE2,CPVAE2,0.9999999999999998,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE2,CPVAE3,0.04905780264694462,first_6_programs_from_rank10_fit
6,weighted CPVAE,CPVAE2,CPVAE4,0.051614010660103994,first_6_programs_from_rank10_fit
