Model,Program,Program_number,Program_label,Time,Strength,Signed_mean,Relative_strength
PCA,PC5,5,PCA 5,3h,0.5346980884730594,0.3050463477276467,0.8237685190876515
PCA,PC5,5,PCA 5,6h,0.6490877911494527,0.24980041776312442,1.0
PCA,PC6,6,PCA 6,12h,0.5408293611196088,0.07328209960463293,0.9538022885663437
PCA,PC6,6,PCA 6,1h,0.45155430840265504,-0.22209958254842901,0.7963575273998366
PCA,PC6,6,PCA 6,24h,0.3087616981829428,-0.28145477703888616,0.544529634520695
PCA,PC6,6,PCA 6,3h,0.5670245999645557,0.399409355710643,1.0
PCA,PC6,6,PCA 6,6h,0.43385152834044716,0.03086290427203899,0.765137047612338
PCA,PC7,7,PCA 7,12h,0.4735255059593222,-0.05079747211702292,0.7386129973140076
PCA,PC7,7,PCA 7,1h,0.42940067315152713,-0.20215509522576966,0.6697863457271664
PCA,PC7,7,PCA 7,24h,0.30496534673587067,-0.2774806861283869,0.47569004413637034
PCA,PC7,7,PCA 7,3h,0.641100965839099,0.4114804594436194,1.0
PCA,PC7,7,PCA 7,6h,0.46565637641189334,0.11895279402756015,0.7263385975443405
PCA,PC8,8,PCA 8,12h,0.550900085513825,-0.01841940565656787,0.8943020199043138
PCA,PC8,8,PCA 8,1h,0.4307794378808014,-0.15630864721802465,0.6993045228350717
PCA,PC8,8,PCA 8,24h,0.3168209179309087,-0.2718878675841384,0.5143102974639857
PCA,PC8,8,PCA 8,3h,0.6160112280331971,0.38633850407805187,1.0
PCA,PC8,8,PCA 8,6h,0.4877503982171416,0.060277416380679204,0.7917881623268993
VAE,VAE1,1,VAE 1,12h,0.02498791863520936,0.010750537117322259,0.5657622138661985
VAE,VAE1,1,VAE 1,1h,0.032604238328834335,-0.0314743826165795,0.7382065840550119
VAE,VAE1,1,VAE 1,24h,0.005504057432214367,-0.0025088234494129833,0.1246197317814427
VAE,VAE1,1,VAE 1,3h,0.04416682136555508,0.0019150841981172503,1.0
VAE,VAE1,1,VAE 1,6h,0.034288829813400847,0.024398807436227767,0.7763481444499444
VAE,VAE2,2,VAE 2,12h,0.004969320570429116,0.0020759335408608,0.4566590079945605
VAE,VAE2,2,VAE 2,1h,0.00932328278819715,0.008679706603288616,0.856769252248747
VAE,VAE2,2,VAE 2,24h,0.004773816714684117,-0.004035330067078233,0.4386930515708811
VAE,VAE2,2,VAE 2,3h,0.010881906375288908,0.00021195349593955792,1.0
VAE,VAE2,2,VAE 2,6h,0.009113129228353448,-0.001583033551772448,0.837457051555592
VAE,VAE3,3,VAE 3,12h,0.041327554732561056,0.027565636982520375,0.776361891390619
VAE,VAE3,3,VAE 3,1h,0.053232333001991074,-0.053232333001991074,1.0
