Model,Program,Program_number,Program_label,Space,Strength,Signed_mean,Relative_strength
VAE,VAE2,2,VAE 2,SI5,0.00596830546855922,-0.0017435878515243398,0.29031181580952703
VAE,VAE2,2,VAE 2,SI6,0.0058508455753326,0.0016990482807159202,0.28459830213851095
VAE,VAE2,2,VAE 2,SI7,0.0052562117576598595,0.00102870464324946,0.25567397441102985
VAE,VAE2,2,VAE 2,SI8,0.0038786649703978957,0.003689217567443825,0.18866699709069115
VAE,VAE2,2,VAE 2,SI9,0.00841262787580486,0.0017238095402717798,0.40920916116318246
VAE,VAE2,2,VAE 2,ce,0.00432952940464016,0.002924969792366,0.21059805830703415
VAE,VAE2,2,VAE 2,co,0.005981793999671881,0.00285010635852812,0.2909679283326793
VAE,VAE2,2,VAE 2,st,0.0205582588911056,-0.01591087877750396,1.0
VAE,VAE3,3,VAE 3,SI1,0.06261148750782011,-0.042974886298179624,0.8286091069374764
VAE,VAE3,3,VAE 3,SI2,0.03123602494597432,0.007067165523767441,0.4133818850978077
VAE,VAE3,3,VAE 3,SI3,0.040251931548118534,0.0248555392026901,0.532699643151413
VAE,VAE3,3,VAE 3,SI4,0.04317760765552514,0.0047158986330032605,0.5714184464100597
VAE,VAE3,3,VAE 3,SI5,0.044877696037292435,0.02059444189071652,0.5939176517764078
VAE,VAE3,3,VAE 3,SI6,0.034002695977687805,0.02058261483907696,0.44999639313823026
VAE,VAE3,3,VAE 3,SI7,0.03262904882431026,0.00429421663284298,0.4318173562503874
VAE,VAE3,3,VAE 3,SI8,0.0402692019939422,0.007513803243637082,0.5329282026260393
VAE,VAE3,3,VAE 3,SI9,0.03526843637228006,0.0006216898560523793,0.46674737701873276
VAE,VAE3,3,VAE 3,ce,0.038412165641784624,-0.004940819740295421,0.5083519260582685
VAE,VAE3,3,VAE 3,co,0.02293474972248071,-0.012928131222724909,0.3035216577949167
VAE,VAE3,3,VAE 3,st,0.07556215226650234,0.00014054477214814343,1.0
VAE,VAE4,4,VAE 4,SI1,0.0629896000027656,-0.05412068814039228,0.6909925552179677
VAE,VAE4,4,VAE 4,SI2,0.02993549853563306,-0.0144625499844551,0.3283908236272753
VAE,VAE4,4,VAE 4,SI3,0.04714011549949642,-0.028904396295547457,0.5171245548604372
VAE,VAE4,4,VAE 4,SI4,0.06701714992523188,0.007643103599548321,0.7351745632331115
VAE,VAE4,4,VAE 4,SI5,0.06723915040493007,0.044036838412284826,0.7376098966646548
VAE,VAE4,4,VAE 4,SI6,0.05306910872459408,0.03326677680015564,0.5821652945746182
VAE,VAE4,4,VAE 4,SI7,0.056791174411773615,0.033395314216613736,0.6229961568083898
VAE,VAE4,4,VAE 4,SI8,0.05389442145824426,0.023130324482917783,0.5912189312805795
VAE,VAE4,4,VAE 4,SI9,0.058207896351814226,0.0098121732473373,0.6385375209913507
VAE,VAE4,4,VAE 4,ce,0.05866551846265785,0.00800909250974654,0.6435576111599213
VAE,VAE4,4,VAE 4,co,0.04650648236274716,-0.008022844791412359,0.5101736331175792
VAE,VAE4,4,VAE 4,st,0.09115814566612238,-0.04458576738834382,1.0
VAE,VAE5,5,VAE 5,SI1,0.02765593230724328,-0.0275322705507278,0.30921910886510445
VAE,VAE5,5,VAE 5,SI2,0.05699727907776828,-0.04010591134428976,0.637282722866195
VAE,VAE5,5,VAE 5,SI3,0.06989552974700923,-0.022507023811340322,0.7814971913408968
VAE,VAE5,5,VAE 5,SI4,0.08943797945976252,-0.057937771081924404,1.0
VAE,VAE5,5,VAE 5,SI5,0.07938003242015834,-0.037255749106407145,0.8875427743296775
VAE,VAE5,5,VAE 5,SI6,0.0347769826650619,0.0097632199525833,0.38883909134718103
VAE,VAE5,5,VAE 5,SI7,0.0400115609169006,0.009850537776947041,0.4473665567870023
VAE,VAE5,5,VAE 5,SI8,0.04353309571743006,0.029706737399101263,0.48674059924414187
